dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,gate_fg_minus_bg,pred_iou,pred_has_false_alarm
IRSTD-1K,XDU189,1,1,1,0.5910184979,0.6942471266,0.7390623689,0.7390623689,4.299697399,15.99632359,8.047420502,nan,8.047420502,nan,0.5833333135,0
IRSTD-1K,XDU189,2,1,1,0.7654155493,0.7329281569,0.698728919,0.6716024876,2.165517569,3.733090878,4.415940285,0.9698967338,3.681455135,-0.02140700817,0.5833333135,0
IRSTD-1K,XDU189,3,1,0,0.6940704584,0.6875438094,0.586617887,0.5900461078,0.4321504533,0.9450355768,1.010409713,0.7181382179,0.7130782604,-0.1743994355,0.5833333135,0
IRSTD-1K,XDU189,4,1,0,0.6470150352,0.6814904809,0.5945702195,0.5852980018,0.7924346924,0.7576801181,0.7638418674,1.047009468,0.7817863226,0.02575075626,0.5833333135,0
IRSTD-1K,XDU935,1,1,1,0.5298382044,0.6306672096,0.7047331333,0.7047331333,2.322966576,14.16989994,4.641178608,nan,4.641178608,nan,0.4444444478,1
IRSTD-1K,XDU935,2,1,1,0.7712735534,0.7394407392,0.6431106925,0.6248314977,2.983607769,3.053501129,2.136505127,0.9646165371,1.924672246,-0.02478384972,0.4444444478,1
IRSTD-1K,XDU935,3,1,0,0.5753564835,0.5990079045,0.5013096333,0.5037906766,0.5241844058,0.6298729181,0.9024583697,0.7316408753,0.6254739761,-0.1714851558,0.4444444478,1
IRSTD-1K,XDU935,4,1,0,0.60510993,0.6060646772,0.54864645,0.5413427949,0.8339638114,0.6909583807,0.7333728075,1.038887024,0.7577950954,0.02149158716,0.4444444478,1
IRSTD-1K,XDU672,1,1,1,0.5898584127,0.656853497,0.7362930775,0.7362930775,2.067323208,7.142067432,2.979016781,nan,2.979016781,nan,0.6363636255,0
IRSTD-1K,XDU672,2,1,1,0.7800514102,0.7399055958,0.6973253489,0.6792029738,1.253951073,1.642775178,2.036688566,0.9694937468,1.779387712,-0.02200520039,0.6363636255,0
IRSTD-1K,XDU672,3,1,0,0.6194094419,0.6115685105,0.5380978584,0.5323435664,0.2965367138,0.4657209516,0.780865252,0.8288013935,0.5463487506,-0.09696567059,0.6363636255,0
IRSTD-1K,XDU672,4,1,0,0.6216222644,0.585475862,0.4859544933,0.4849637151,0.9391599894,0.6192376018,0.7425208092,1.00827992,0.7609928846,0.004181802273,0.6363636255,0
IRSTD-1K,XDU231,1,1,1,0.5594926476,0.7320733666,0.8185671568,0.8185671568,7.608616829,7.000982761,3.806138754,nan,3.806138754,nan,0.7352941036,0
IRSTD-1K,XDU231,2,1,1,0.8119603992,0.7962228656,0.8083328009,0.8021094203,0.9348623753,2.528997421,3.546200037,0.997005403,2.999975681,-0.00200265646,0.7352941036,0
IRSTD-1K,XDU231,3,1,0,0.780718565,0.7568992972,0.7745637298,0.7508972883,0.4672195911,2.907412767,2.696554184,0.8800348043,2.236558914,-0.06279492378,0.7352941036,0
IRSTD-1K,XDU231,4,1,0,0.3983543813,0.4345696568,0.366555661,0.3573236167,1.169024944,1.136760116,1.165191174,1.003842235,1.144537091,0.001678079367,0.7352941036,0
IRSTD-1K,XDU818,1,1,1,0.5515755415,0.663869381,0.7349576354,0.7349576354,1.172542691,2.66749835,1.187621593,nan,1.187621593,nan,0.4545454681,0
IRSTD-1K,XDU818,2,1,1,0.7732002139,0.7046664357,0.7291124463,0.7150479555,1.524789929,1.345662594,1.903321147,1.003502488,1.790367961,0.002517044544,0.4545454681,0
IRSTD-1K,XDU818,3,1,0,0.7375848293,0.7431391478,0.6471740603,0.643855989,0.5387070179,0.505502224,0.7399688959,1.047755957,0.6576108336,0.02752506733,0.4545454681,0
IRSTD-1K,XDU818,4,1,0,0.6895534396,0.6648500562,0.5143978596,0.5146669745,0.5560506582,0.60699898,0.6328458786,1.13058424,0.6547874212,0.06597280502,0.4545454681,0
IRSTD-1K,XDU888,1,1,1,0.4724916816,0.6013628244,0.6707893014,0.6707893014,2.767180443,17.47647858,4.999294281,nan,4.999294281,nan,0.3333333433,0
IRSTD-1K,XDU888,2,1,1,0.7300477624,0.6979605556,0.6784460545,0.6527377367,3.113353014,3.84363246,5.810632229,1.044613957,4.718526363,0.03127145767,0.3333333433,0
IRSTD-1K,XDU888,3,1,0,0.6847971082,0.6887152791,0.5781670809,0.5861328244,0.4985279441,0.8506278992,1.000359774,0.7054744363,0.6963721514,-0.1850871742,0.3333333433,0
IRSTD-1K,XDU888,4,1,0,0.6093094349,0.6506212354,0.5712465644,0.5645394921,0.824195385,0.7253877521,0.7758801579,1.027656913,0.7932357192,0.01537466049,0.3333333433,0
