dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,gate_fg_minus_bg,pred_iou,pred_has_false_alarm
IRSTD-1K,XDU189,1,1,1,0.613484323,0.7056652904,0.7056652904,0.7056652904,4.884290218,16.33944321,16.33944321,nan,16.33944321,nan,0.6363636255,0
IRSTD-1K,XDU189,2,1,1,0.7679595351,0.7460399866,0.7493131161,0.7447653413,2.894202709,4.160240173,5.058284283,1.132600784,4.996160984,0.0745486021,0.6363636255,0
IRSTD-1K,XDU189,3,1,0,0.6661346555,0.6603829265,0.6735787392,0.6632843018,0.929456532,2.130736351,2.515757084,0.9892567396,2.322462559,-0.006601274014,0.6363636255,0
IRSTD-1K,XDU189,4,1,0,0.625097692,0.5722839832,0.5659914017,0.5643519759,0.237664789,0.4446126223,0.485126406,0.9942041636,0.4676657319,-0.003706216812,0.6363636255,0
IRSTD-1K,XDU935,1,1,1,0.5613390207,0.6415628195,0.6415628195,0.6415628195,2.310030222,12.44879532,12.44879532,nan,12.44879532,nan,0.7272727489,0
IRSTD-1K,XDU935,2,1,1,0.7719388604,0.7519612312,0.7615404129,0.7626494765,3.280438423,3.334508419,4.81618166,1.281350613,5.009537697,0.1464932561,0.7272727489,0
IRSTD-1K,XDU935,3,1,0,0.7140905857,0.6924097538,0.6908450127,0.6964827776,0.5726460218,1.558069944,1.793091059,1.153330207,1.802569032,0.08420950174,0.7272727489,0
IRSTD-1K,XDU935,4,1,0,0.7304615974,0.6739705801,0.6679144502,0.6486415863,1.017421842,0.8203161359,0.8273172975,1.089438319,0.845067203,0.05275148153,0.7272727489,0
IRSTD-1K,XDU672,1,1,1,0.5908592939,0.6401565075,0.6401565075,0.6401565075,2.128178358,7.43153429,7.43153429,nan,7.43153429,nan,0.4666666687,0
IRSTD-1K,XDU672,2,1,1,0.7933777571,0.7673509717,0.7694628835,0.7716215849,1.405916572,1.858579993,2.845619202,1.391156793,3.16722703,0.1980221868,0.4666666687,0
IRSTD-1K,XDU672,3,1,0,0.7520196438,0.7270067334,0.7282293439,0.7208889723,0.8037737012,2.061290741,2.362883091,0.9438490272,2.125867605,-0.03587442636,0.4666666687,0
IRSTD-1K,XDU672,4,1,0,0.7841991186,0.7035470009,0.6947126389,0.6834285259,0.6580888629,0.8040055633,0.8079965115,1.051036835,0.7979479432,0.03104311228,0.4666666687,0
IRSTD-1K,XDU231,1,1,1,0.5650891066,0.7241999507,0.7241999507,0.7241999507,8.362638474,7.289536953,7.289536953,nan,7.289536953,nan,0.7281553149,0
IRSTD-1K,XDU231,2,1,1,0.8708794713,0.8517058492,0.8590264916,0.860024929,1.37704742,3.03059864,3.382784367,1.185020089,3.349591017,0.102168262,0.7281553149,0
IRSTD-1K,XDU231,3,1,0,0.7256355286,0.7674579024,0.804017365,0.7756094933,0.7000672817,2.54362607,3.231360674,0.9117791653,2.730139971,-0.05407243967,0.7281553149,0
IRSTD-1K,XDU231,4,1,0,0.6440466642,0.6223950982,0.614869535,0.6058346629,0.3002170026,0.6064491868,0.6150975823,1.002857924,0.5737270713,0.00180631876,0.7281553149,0
IRSTD-1K,XDU818,1,1,1,0.543151319,0.6439445019,0.6439445019,0.6439445019,1.173968077,2.790867805,2.790867805,nan,2.790867805,nan,0.555555582,0
IRSTD-1K,XDU818,2,1,1,0.7481284142,0.6979745626,0.7029002905,0.7138880491,1.538707495,1.51753211,2.219779491,1.40023613,2.480724812,0.1999419928,0.555555582,0
IRSTD-1K,XDU818,3,1,0,0.7578322291,0.7440113425,0.742153585,0.7376660109,1.95131278,1.72080493,2.006370306,0.9972739816,1.904264331,-0.001745164394,0.555555582,0
IRSTD-1K,XDU818,4,1,0,0.6946874261,0.6951642632,0.6845374703,0.6765958667,0.8095991611,0.6779952049,0.7028366327,1.034561753,0.7017204762,0.02143663168,0.555555582,0
IRSTD-1K,XDU888,1,1,1,0.4919264019,0.6101871729,0.6101871729,0.6101871729,3.288989067,18.81250191,18.81250191,nan,18.81250191,nan,0.3333333433,0
IRSTD-1K,XDU888,2,1,1,0.7041916251,0.6958072782,0.716988802,0.7193847895,5.116538048,5.197642803,7.608636379,1.304540992,8.103274345,0.1631553769,0.3333333433,0
IRSTD-1K,XDU888,3,1,0,0.7107368112,0.6953358054,0.695633769,0.6930195689,0.433599025,1.66937983,1.862909913,1.004444599,1.705744863,0.002668559551,0.3333333433,0
IRSTD-1K,XDU888,4,1,0,0.7256651521,0.6780546308,0.6652773023,0.6508398056,0.6658403873,0.9923409224,0.9762001038,1.047888875,0.9733051658,0.02887147665,0.3333333433,0
IRSTD-1K,XDU146,1,1,1,0.4439405203,0.5844627023,0.5844627023,0.5844627023,8.666488647,18.12615967,18.12615967,nan,18.12615967,nan,0.8977777958,0
IRSTD-1K,XDU146,2,1,1,0.742873013,0.701595664,0.7052862048,0.694694221,5.253584862,6.135800362,7.025148869,1.207142234,6.356259823,0.1015052199,0.8977777958,0
IRSTD-1K,XDU146,3,1,0,0.7201815248,0.7938335538,0.8234080672,0.8219673038,0.8192998767,2.698541641,3.329287767,1.181431293,3.288814783,0.08435580134,0.8977777958,0
IRSTD-1K,XDU146,4,1,0,0.5503966808,0.8077285886,0.8127624393,0.7844979763,0.8482321501,1.976068258,1.998920798,0.9696717262,1.824136496,-0.01882874966,0.8977777958,0
IRSTD-1K,XDU48,1,1,1,0.5662008524,0.6289887428,0.6289887428,0.6289887428,4.993543148,33.14748001,33.14748001,nan,33.14748001,nan,0.6666666865,0
