dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,gate_fg_minus_bg,pred_iou,pred_has_false_alarm
NUAA-SIRST,Misc_338,1,1,1,0.3672255576,0.6376262903,0.6644202471,0.6644202471,1.153141499,24.7954731,8.298121452,nan,8.298121452,nan,0.75,0
NUAA-SIRST,Misc_338,2,1,1,0.713213861,0.7181702852,0.7132406831,0.7391810417,3.28972888,3.413022995,4.711134434,1.317438006,4.963711262,0.1706074476,0.75,0
NUAA-SIRST,Misc_338,3,1,0,0.6406644583,0.5801210403,0.4417380095,0.4941185117,0.818738997,1.214798927,1.012361526,0.9867969751,1.018157244,-0.007793426514,0.75,0
NUAA-SIRST,Misc_338,4,1,0,0.4133680761,0.377232492,0.1772459894,0.1796622872,0.9311327338,0.9532247782,0.9716734886,1.003254414,0.9670791626,0.001598536968,0.75,0
NUAA-SIRST,Misc_379,1,1,1,0.5894582868,0.6291671991,0.6865996122,0.6865996122,1.798515916,5.562631607,2.716917753,nan,2.716917753,nan,0.7574468255,0
NUAA-SIRST,Misc_379,2,1,1,0.7509803176,0.7385898829,0.6296243072,0.6318225861,2.072674751,2.310157776,2.055853367,0.9810153246,1.958843827,-0.01303756237,0.7574468255,0
NUAA-SIRST,Misc_379,3,1,0,0.623575747,0.7564934492,0.7463834286,0.7393530607,0.6916473508,1.562090635,1.713354468,1.016435623,1.612901688,0.009601294994,0.7574468255,0
NUAA-SIRST,Misc_379,4,1,0,0.5279046297,0.7115565538,0.7413108349,0.6152957082,1.181929708,1.825528979,1.76459527,0.9549154639,1.464264512,-0.0221144259,0.7574468255,0
NUAA-SIRST,Misc_422,1,1,1,0.5657781363,0.6247227788,0.7125427127,0.7125427127,4.843057632,24.19463921,9.546413422,nan,9.546413422,nan,0.8181818128,0
NUAA-SIRST,Misc_422,2,1,1,0.8173873425,0.8194369674,0.7309446335,0.7292317748,6.17116642,7.843832016,5.696652889,1.06588912,5.614531994,0.04275679588,0.8181818128,0
NUAA-SIRST,Misc_422,3,1,0,0.6426001191,0.5686197281,0.4351097047,0.4763275087,0.192426905,1.040879965,1.03794539,1.19830215,1.127835274,0.1032034755,0.8181818128,0
NUAA-SIRST,Misc_422,4,1,0,0.1548424214,0.610262394,0.4709244668,0.4458711445,1.012129068,1.200411201,0.9509288073,0.9728812575,0.953058064,-0.0109269619,0.8181818128,0
NUAA-SIRST,Misc_73,1,1,1,0.563813448,0.6905699372,0.7965662479,0.7965662479,3.78418231,7.346161366,3.597310781,nan,3.597310781,nan,0.4615384638,1
NUAA-SIRST,Misc_73,2,1,1,0.8284852505,0.7985249162,0.6931796074,0.7044931054,2.926635981,4.062360764,2.959412813,1.042731643,3.137867451,0.02832359076,0.4615384638,1
NUAA-SIRST,Misc_73,3,1,0,0.664629817,0.7375605702,0.765583992,0.7523966432,0.727383852,5.270330906,5.797701359,1.000169754,5.38563776,0.0001007914543,0.4615384638,1
NUAA-SIRST,Misc_73,4,1,0,0.4727435708,0.7496886253,0.7669398785,0.646042645,0.5586954355,4.739882469,5.162729263,0.7883354425,3.1708951,-0.1038114429,0.4615384638,1
NUAA-SIRST,Misc_321,1,1,1,0.5167645216,0.612713635,0.6877893806,0.6877893806,3.869100332,20.71345329,12.25802422,nan,12.25802422,nan,0.8947368264,0
NUAA-SIRST,Misc_321,2,1,1,0.7746734619,0.7540271282,0.6446827054,0.638406992,3.37555027,4.410812855,3.304240942,1.068360209,3.299239397,0.04450714588,0.8947368264,0
NUAA-SIRST,Misc_321,3,1,0,0.7385675907,0.6609580517,0.5835963488,0.6096356511,0.6571078897,0.9445093274,0.7794266343,1.104935527,0.809889853,0.05619859695,0.8947368264,0
NUAA-SIRST,Misc_321,4,1,0,0.1538460553,0.5194655657,0.4427692294,0.4259985089,1.009434104,1.461035013,0.7113618851,0.969358325,0.7106445432,-0.01222196221,0.8947368264,0
NUAA-SIRST,Misc_162,1,1,1,0.5874172449,0.6658565998,0.6943973899,0.6943973899,1.84717989,23.27473068,6.896354675,nan,6.896354675,nan,0.7272727489,0
NUAA-SIRST,Misc_162,2,1,1,0.7884221673,0.7853759527,0.7396472096,0.7407394052,6.841090679,5.546380997,6.388192654,1.094270587,6.169824123,0.06007111073,0.7272727489,0
NUAA-SIRST,Misc_162,3,1,0,0.7340498567,0.6893417239,0.5491322875,0.5645770431,0.2498704046,1.315757871,1.345313787,1.049042344,1.435385704,0.0286218524,0.7272727489,0
