dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,gate_fg_minus_bg,pred_iou,pred_has_false_alarm
NUAA-SIRST,Misc_338,1,1,1,0.3441615701,0.6331413388,0.6331413388,0.6331413388,1.079318523,20.03079796,20.03079796,nan,20.03079796,nan,0.75,0
NUAA-SIRST,Misc_338,2,1,1,0.7513789535,0.7258629203,0.7054015398,0.7031610012,2.456203699,2.156156301,2.130083323,1.049441218,2.058826208,0.02935016155,0.75,0
NUAA-SIRST,Misc_338,3,1,0,0.3370105028,0.3924568892,0.3803864121,0.3646990061,1.088597655,1.045347691,1.145673752,1.028453708,1.125125051,0.01680827141,0.75,0
NUAA-SIRST,Misc_338,4,1,0,0.3456320465,0.2702581584,0.2575196922,0.2420360595,1.165957808,1.111914158,1.104563355,1.000444055,1.095753193,0.0002788305283,0.75,0
NUAA-SIRST,Misc_379,1,1,1,0.6053771973,0.6338489652,0.6338489652,0.6338489652,1.920898199,5.056844234,5.056844234,nan,5.056844234,nan,0.6698113084,0
NUAA-SIRST,Misc_379,2,1,1,0.8363671899,0.7834646702,0.7852262855,0.7814246416,1.955236077,2.029624224,2.076664448,1.136859179,2.10210228,0.07776492834,0.6698113084,0
NUAA-SIRST,Misc_379,3,1,0,0.6626521945,0.6645399928,0.6641122103,0.6648213267,0.766505301,1.140260935,1.298716903,1.008436441,1.346724153,0.004755914211,0.6698113084,0
NUAA-SIRST,Misc_379,4,1,0,0.6183645129,0.4313433468,0.4333261549,0.4058762193,1.341627598,0.999150753,1.038677454,0.9661821723,1.019875288,-0.0208260417,0.6698113084,0
NUAA-SIRST,Misc_422,1,1,1,0.5347399116,0.6291710138,0.6291710138,0.6291710138,3.796571732,19.51063156,19.51063156,nan,19.51063156,nan,0.8181818128,0
NUAA-SIRST,Misc_422,2,1,1,0.8536479473,0.8427703381,0.8424299955,0.8426894546,2.729935169,3.734475851,3.735074282,1.071404338,3.850890398,0.04107886553,0.8181818128,0
NUAA-SIRST,Misc_422,3,1,0,0.5577018857,0.6101509929,0.6446911693,0.6411681771,1.336607099,2.232505083,2.696913004,0.9061020017,2.61833024,-0.05643588305,0.8181818128,0
NUAA-SIRST,Misc_422,4,1,0,0.3937444687,0.3274883628,0.3188697696,0.3036629558,1.036118746,1.037213802,1.03769052,1.000540733,1.03507483,0.0003395080566,0.8181818128,0
NUAA-SIRST,Misc_73,1,1,1,0.5751792789,0.7010797262,0.7010797262,0.7010797262,4.406985283,8.162572861,8.162572861,nan,8.162572861,nan,0.2857142985,1
NUAA-SIRST,Misc_73,2,1,1,0.8872882128,0.8719087243,0.8724383116,0.8727829456,1.589713693,2.415490866,2.595744371,1.3615762,3.110129833,0.1922568083,0.2857142985,1
NUAA-SIRST,Misc_73,3,1,0,0.6530896425,0.6480710506,0.6490377784,0.6498586535,0.8296604156,2.070065975,2.512969732,1.015075803,2.636356354,0.008598029613,0.2857142985,1
NUAA-SIRST,Misc_73,4,1,0,0.6902253628,0.6775140762,0.6725418568,0.6432296038,1.711049795,1.496994376,1.616804004,0.7993294001,1.408507228,-0.1232700348,0.2857142985,1
NUAA-SIRST,Misc_321,1,1,1,0.5220674276,0.6222906709,0.6222906709,0.6222906709,3.116212606,18.85634041,18.85634041,nan,18.85634041,nan,0.7083333135,1
NUAA-SIRST,Misc_321,2,1,1,0.8689800501,0.8527453542,0.8525173664,0.851197958,2.391521931,2.801287413,2.744152546,1.117279887,2.824734449,0.06783753633,0.7083333135,1
NUAA-SIRST,Misc_321,3,1,0,0.5465569496,0.6089273691,0.6397787333,0.631931901,1.458670855,2.040266514,2.42716074,0.9060788155,2.355559826,-0.05634015799,0.7083333135,1
NUAA-SIRST,Misc_321,4,1,0,0.3765042126,0.3250890076,0.317296952,0.3025006056,1.037545919,1.042974234,1.041998625,1.001076937,1.042062998,0.000676214695,0.7083333135,1
NUAA-SIRST,Misc_162,1,1,1,0.6007810831,0.6647820473,0.6647820473,0.6647820473,2.18514061,22.66176796,22.66176796,nan,22.66176796,nan,0.6956521869,0
NUAA-SIRST,Misc_162,2,1,1,0.808098197,0.7485414147,0.755137682,0.757550478,3.534591675,2.982409239,3.129060268,1.094670653,3.244296312,0.05343961716,0.6956521869,0
NUAA-SIRST,Misc_162,3,1,0,0.6141164899,0.6190536022,0.615005672,0.6088743806,0.5101131201,1.102110386,1.419766426,0.9538078308,1.437193513,-0.02658545971,0.6956521869,0
NUAA-SIRST,Misc_162,4,1,0,0.4347785115,0.3533371389,0.336517632,0.3233202994,1.440450311,1.146781564,1.171434045,1.011131167,1.15889883,0.006914615631,0.6956521869,0
NUAA-SIRST,Misc_372,1,1,1,0.4750835299,0.6423882246,0.6423882246,0.6423882246,1.321421862,9.162597656,9.162597656,nan,9.162597656,nan,0.814814806,0
NUAA-SIRST,Misc_372,2,1,1,0.8176714182,0.7875686884,0.7896995544,0.7877367735,3.223762035,2.863337994,2.920960903,1.100013375,3.074603796,0.05765223503,0.814814806,0
NUAA-SIRST,Misc_372,3,1,0,0.64035815,0.647038579,0.6402976513,0.6347783208,0.9667627215,1.397778153,1.650851727,0.9703456759,1.635148644,-0.01756840944,0.814814806,0
NUAA-SIRST,Misc_372,4,1,0,0.4984973371,0.4525058568,0.4425314069,0.4225500226,1.170997858,1.097007751,1.096320868,1.004948497,1.092944741,0.003100395203,0.814814806,0
NUAA-SIRST,Misc_185,1,1,1,0.4718837738,0.6380476356,0.6380476356,0.6380476356,2.78799963,20.2470665,20.2470665,nan,20.2470665,nan,0.7818182111,0
NUAA-SIRST,Misc_185,2,1,1,0.8172596693,0.8012323976,0.789173007,0.7997801304,3.634622574,4.207577705,4.101540089,1.083620191,4.236358166,0.04985135794,0.7818182111,0
NUAA-SIRST,Misc_185,3,1,0,0.5436677337,0.7857295871,0.8042158484,0.8097079396,1.07858026,2.196635485,2.591513395,0.9736409783,2.650963068,-0.01566231251,0.7818182111,0
NUAA-SIRST,Misc_185,4,1,0,0.3977028728,0.506129086,0.5272806287,0.4788897932,1.008780956,1.23175931,1.260814071,0.952477932,1.210219502,-0.02984952927,0.7818182111,0
NUAA-SIRST,Misc_420,1,1,1,0.4581582546,0.6312054396,0.6312054396,0.6312054396,1.282712817,13.69217873,13.69217873,nan,13.69217873,nan,0.5245901346,0
NUAA-SIRST,Misc_420,2,1,1,0.8014405966,0.7895442247,0.7842234969,0.7829428315,1.83609736,1.857994437,1.915404797,1.064889908,1.909044147,0.03780382872,0.5245901346,0
NUAA-SIRST,Misc_420,3,1,0,0.5966552496,0.5759286284,0.6105783582,0.6125270128,1.165387392,1.179324031,1.331091404,0.9756146669,1.341384649,-0.01453453302,0.5245901346,0
NUAA-SIRST,Misc_420,4,1,0,0.4219321609,0.3450005651,0.332379818,0.3152658939,1.114022493,1.084248185,1.078700662,1.00052619,1.073037624,0.0003304481506,0.5245901346,0
NUAA-SIRST,Misc_143,1,1,1,0.5571009517,0.6945239902,0.6945239902,0.6945239902,1.762301922,6.893538475,6.893538475,nan,6.893538475,nan,0.9090909362,0
NUAA-SIRST,Misc_143,2,1,1,0.8948832154,0.8784213662,0.8751350045,0.8730612993,2.374753952,2.386778831,2.425618887,1.118324399,2.537621737,0.06665718555,0.9090909362,0
NUAA-SIRST,Misc_143,3,1,0,0.6558043957,0.6395080686,0.6309424639,0.6249854565,0.9135932922,1.272828937,1.468202591,0.969230175,1.462663293,-0.0177719593,0.9090909362,0
NUAA-SIRST,Misc_143,4,1,0,0.3989344537,0.3275619745,0.3235116303,0.3126485348,1.166782618,1.088234544,1.095428348,1.004715085,1.090747476,0.00294393301,0.9090909362,0
NUAA-SIRST,Misc_137,1,1,1,0.5179132223,0.7016704082,0.7016704082,0.7016704082,2.676518679,6.18677187,6.18677187,nan,6.18677187,nan,0.7402597666,1
NUAA-SIRST,Misc_137,2,1,1,0.9193990827,0.9045789838,0.898265779,0.8892680407,2.362384319,2.7827456,2.679017782,1.150007367,2.811345339,0.08451557159,0.7402597666,1
