dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,gate_fg_minus_bg,pred_iou,pred_has_false_alarm
NUDT-SIRST,000541,1,1,1,0.5890764594,0.6552997828,0.6552997828,0.6552997828,4.789475918,5.844020844,5.844020844,nan,5.844020844,nan,1,0
NUDT-SIRST,000541,2,1,1,0.8785158992,0.8465215564,0.8356881738,0.8372973204,1.721455693,2.622770309,3.033445597,1.233785868,3.316399574,0.1297920942,1,0
NUDT-SIRST,000541,3,1,0,0.7801527381,0.778870523,0.7738021016,0.7637802362,0.8777120113,2.390406609,2.88954711,1.109672546,2.647912025,0.06096994877,1,0
NUDT-SIRST,000541,4,1,0,0.577046752,0.6419214606,0.6192293763,0.6188130379,1.489198565,1.053150415,0.9816541672,1.023895979,0.9064500928,0.01093411446,1,0
NUDT-SIRST,000832,1,1,1,0.62394315,0.6393190026,0.6393190026,0.6393190026,3.522607327,8.095845222,8.095845222,nan,8.095845222,nan,0.9499999881,0
NUDT-SIRST,000832,2,1,1,0.7756424546,0.7540994883,0.7591049075,0.7673480511,3.524070263,3.351956367,2.985045671,1.117853999,2.95097971,0.07279008627,0.9499999881,0
NUDT-SIRST,000832,3,1,0,0.5051237345,0.6957711577,0.7078502774,0.6776173115,1.182347775,2.168156385,2.47780323,1.061137319,2.237900734,0.03486311436,0.9499999881,0
NUDT-SIRST,000832,4,1,0,0.4763359725,0.4410616755,0.4442726076,0.4498033822,1.089247823,1.165768027,1.165881515,1.003649354,1.167794347,0.002744019032,0.9499999881,0
NUDT-SIRST,000710,1,1,1,0.5895805955,0.6095200777,0.6095200777,0.6095200777,5.843633175,11.54539585,11.54539585,nan,11.54539585,nan,0.9423077106,0
NUDT-SIRST,000710,2,1,1,0.7929384112,0.7570168972,0.7493364811,0.7504462004,4.140683651,4.39091444,4.105342388,1.141147852,4.056458473,0.08662700653,0.9423077106,0
NUDT-SIRST,000710,3,1,0,0.6414644122,0.7597094774,0.759634614,0.7331690788,1.334585905,2.517685652,2.589735031,1.068506718,2.330399036,0.03714841604,0.9423077106,0
NUDT-SIRST,000710,4,1,0,0.6813613772,0.6253157258,0.6338152289,0.6447523832,1.825849771,1.338202,1.390963435,1.242587805,1.513392806,0.1324735284,0.9423077106,0
NUDT-SIRST,000316,1,1,1,0.5558947921,0.6290115118,0.6290115118,0.6290115118,4.643121719,10.89832115,10.89832115,nan,10.89832115,nan,0.9316770434,0
NUDT-SIRST,000316,2,1,1,0.8213516474,0.7813808322,0.7671935558,0.7656542659,3.241033792,3.340221405,3.976927757,1.153767467,4.213885784,0.09141129255,0.9316770434,0
NUDT-SIRST,000316,3,1,0,0.7351049185,0.7886967063,0.8072573543,0.8043618798,1.413786054,4.24241066,5.205652714,1.129790902,4.934129715,0.07091462612,0.9316770434,0
NUDT-SIRST,000316,4,1,0,0.7299741507,0.6694183946,0.6816638708,0.6848176122,1.895385742,1.805020928,1.958737373,1.138224483,1.835030556,0.07812905312,0.9316770434,0
NUDT-SIRST,001142,1,1,1,0.6687029004,0.7461268902,0.7461268902,0.7461268902,3.270975828,5.776364803,5.776364803,nan,5.776364803,nan,1,0
NUDT-SIRST,001142,2,1,1,0.7921352386,0.7675116658,0.774615109,0.7838981748,3.073935509,3.244476557,3.339344263,1.086631775,3.304605722,0.05386656523,1,0
NUDT-SIRST,001142,3,1,0,0.6625205278,0.7230226398,0.7063366175,0.6857463717,1.401028275,2.522569656,2.530938625,1.098614931,2.260575771,0.05241638422,1,0
NUDT-SIRST,001142,4,1,0,0.8287298679,0.6230311394,0.6533096433,0.7062021494,1.740583539,0.9160487056,0.9697865844,1.373885274,1.100397587,0.1748753786,1,0
NUDT-SIRST,000409,1,1,1,0.5543663502,0.6231732368,0.6231732368,0.6231732368,7.096637249,10.54396343,10.54396343,nan,10.54396343,nan,0.9411764741,0
NUDT-SIRST,000409,2,1,1,0.8302171826,0.792994976,0.7902309299,0.7978613377,3.725645065,4.356354713,4.259226322,1.195554733,4.323305607,0.1157675982,0.9411764741,0
NUDT-SIRST,000409,3,1,0,0.7464513779,0.7468553782,0.7396675944,0.7204399705,1.302028894,3.008649588,3.091420174,0.9904173017,2.602360725,-0.005167126656,0.9411764741,0
NUDT-SIRST,000409,4,1,0,0.7857764363,0.6936711669,0.7033846974,0.7287836671,2.721796751,1.459478974,1.5322932,1.426785707,1.733962655,0.217941165,0.9411764741,0
NUDT-SIRST,000226,1,1,1,0.5449934602,0.6470009685,0.6470009685,0.6470009685,2.63351655,3.521409988,3.521409988,nan,3.521409988,nan,0.9577465057,0
NUDT-SIRST,000226,2,1,1,0.7556391954,0.722405076,0.7272437215,0.7423443198,2.735970259,2.504864693,2.484032631,1.162411332,2.591952562,0.0974034667,0.9577465057,0
NUDT-SIRST,000226,3,1,0,0.6473289132,0.7729238868,0.7737264037,0.7629820108,1.207772493,2.648852587,2.862229347,1.014401317,2.652063608,0.008408546448,0.9577465057,0
NUDT-SIRST,000226,4,1,0,0.7550795674,0.6876960397,0.6985839009,0.7108319998,1.522261381,1.193250299,1.232434511,1.251656532,1.339707851,0.1462811828,0.9577465057,0
NUDT-SIRST,001133,1,1,1,0.6558405757,0.7744705081,0.7744705081,0.7744705081,3.137856245,3.926590443,3.926590443,nan,3.926590443,nan,1,0
NUDT-SIRST,001133,2,1,1,0.8238989711,0.7788031697,0.7839480639,0.7884694934,1.415887475,2.163448811,2.55746603,1.280777097,2.809805155,0.1499727964,1,0
NUDT-SIRST,001133,3,1,0,0.6430886388,0.7200490832,0.6759037375,0.6547181606,1.068427205,3.355955362,3.538700581,1.033158779,3.102910757,0.01894533634,1,0
NUDT-SIRST,001133,4,1,0,0.7549849153,0.6911943555,0.6944813728,0.7139803171,2.666792154,1.538101196,1.574021935,1.347829342,1.736941934,0.198921144,1,0
NUDT-SIRST,001255,1,1,1,0.5366424918,0.6632813811,0.6632813811,0.6632813811,4.404135704,4.708442211,4.708442211,nan,4.708442211,nan,0.8481012583,0
NUDT-SIRST,001255,2,1,1,0.8525779843,0.8154367805,0.8115465641,0.8121319413,1.659113884,2.238628387,2.61772871,1.207589149,2.859663725,0.110507071,0.8481012583,0
NUDT-SIRST,001255,3,1,0,0.7186912894,0.7177402973,0.7364986539,0.7295715213,0.8449500799,2.137397766,2.607457876,1.107584357,2.509337664,0.05729341507,0.8481012583,0
NUDT-SIRST,001255,4,1,0,0.7845747471,0.7327961922,0.7148106098,0.7164800763,1.17587626,0.9247153997,0.9131761193,1.453943372,1.024322748,0.2234659493,0.8481012583,0
NUDT-SIRST,000558,1,1,1,0.561190784,0.6407626271,0.6407626271,0.6407626271,7.822896957,10.97848988,10.97848988,nan,10.97848988,nan,0.9344262481,0
NUDT-SIRST,000558,2,1,1,0.8585987687,0.8315767646,0.823769927,0.8236380816,2.132891178,3.340663671,3.792510509,1.22720027,4.116142273,0.1277958751,0.9344262481,0
NUDT-SIRST,000558,3,1,0,0.7623502016,0.790305078,0.7893445492,0.7795354724,0.9572196007,3.912114859,4.656145573,1.098072886,3.996760845,0.0533426404,0.9344262481,0
NUDT-SIRST,000558,4,1,0,0.7802236676,0.732303977,0.7256031632,0.7341042757,2.685965061,2.045529842,2.039596319,1.375422716,2.227422953,0.2068765759,0.9344262481,0
NUDT-SIRST,001000,1,1,1,0.5297573805,0.5868868828,0.5868868828,0.5868868828,1.122215748,1.497264028,1.497264028,nan,1.497264028,nan,0.8518518806,0
NUDT-SIRST,001000,2,1,1,0.8050009608,0.7778308392,0.7816069126,0.7792541385,1.24115777,1.058166027,1.38124311,1.353666544,1.47846818,0.1769798398,0.8518518806,0
NUDT-SIRST,001000,3,1,0,0.7653778791,0.7402660847,0.7265744209,0.7221720219,1.196563482,1.648735642,2.153038979,1.119048595,2.027350187,0.0686249733,0.8518518806,0
NUDT-SIRST,001000,4,1,0,0.6311761737,0.6027181745,0.5346447229,0.522490263,1.334002733,1.248713851,1.129521132,0.9798524976,1.078701615,-0.009394586086,0.8518518806,0
NUDT-SIRST,000763,1,1,1,0.5825258493,0.6716945171,0.6716945171,0.6716945171,5.583217621,7.044445038,7.044445038,nan,7.044445038,nan,0.6842105389,0
NUDT-SIRST,000763,2,1,1,0.818897903,0.7804341912,0.7780663371,0.7787958384,1.423860908,2.677440166,2.871408224,1.018556833,2.843502045,0.0105175972,0.6842105389,0
NUDT-SIRST,000763,3,1,0,0.6063143611,0.6884362102,0.6855197549,0.6679043174,1.187259912,2.58048749,2.993149042,1.172276974,2.897225142,0.09550154209,0.6842105389,0
