dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,R_high_high_for_fusion,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,high_for_fusion_fg_bg,gate_fg_minus_bg,block_fusion_high_source,pred_iou,pred_has_false_alarm
IRSTD-1K,XDU189,1,1,1,0.6056280732,0.6984670162,0.6984670162,0.6984670162,0.6984670162,4.779258251,15.28178215,15.28178215,nan,15.28178215,15.28178215,nan,stage1,0.6363636255,0
IRSTD-1K,XDU189,2,1,1,0.7746868134,0.7556836605,0.7543020844,0.744148314,0.7543020844,2.593555927,4.286352158,5.402851582,0.9534780979,4.774546623,5.402851582,-0.02605581284,high_raw,0.6363636255,0
IRSTD-1K,XDU189,3,1,0,0.7117382884,0.7039819956,0.7100396752,0.7049129009,0.7100396752,1.072186112,2.137702703,2.062063456,1.116329789,2.068687201,2.062063456,0.06197363138,high_raw,0.6363636255,0
IRSTD-1K,XDU189,4,1,0,0.6950170994,0.6485503912,0.6383829713,0.6385707855,0.6383829713,0.8529237509,0.7108563185,0.7261605859,1.068411231,0.7456265092,0.7261605859,0.02789968252,high_raw,0.6363636255,0
IRSTD-1K,XDU935,1,1,1,0.5613433123,0.6587404013,0.6587404013,0.6587404013,0.6587404013,2.182949543,12.60787582,12.60787582,nan,12.60787582,12.60787582,nan,stage1,0.5,1
IRSTD-1K,XDU935,2,1,1,0.7669985294,0.753203094,0.7557960749,0.7527199388,0.7557960749,3.051668644,3.332470179,4.281839848,0.9559063315,3.965662718,4.281839848,-0.02468729019,high_raw,0.5,1
IRSTD-1K,XDU935,3,1,0,0.7809135318,0.7542728186,0.755895853,0.7520009279,0.755895853,3.090214252,2.906947613,2.928304911,1.078512788,2.959895849,2.928304911,0.04187488556,high_raw,0.5,1
IRSTD-1K,XDU935,4,1,0,0.7538233399,0.724786818,0.7121690512,0.7120568156,0.7121690512,1.301169038,0.8594289422,0.8875107765,1.184529781,0.9222168326,0.8875107765,0.0755687952,high_raw,0.5,1
IRSTD-1K,XDU672,1,1,1,0.6005308628,0.6511458158,0.6511458158,0.6511458158,0.6511458158,1.958777547,7.01224947,7.01224947,nan,7.01224947,7.01224947,nan,stage1,0.5,0
IRSTD-1K,XDU672,2,1,1,0.7796601057,0.7579706311,0.7620698214,0.7548624277,0.7620698214,1.702914476,2.230890512,2.883168697,1.031298161,2.517380476,2.883168697,0.0161935091,high_raw,0.5,0
