dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,R_high_high_for_fusion,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,high_for_fusion_fg_bg,gate_fg_minus_bg,block_fusion_high_source,pred_iou,pred_has_false_alarm
IRSTD-1K,XDU189,1,1,1,0.5972326994,0.7123769522,0.7123769522,0.7123769522,0.7123769522,4.338918686,14.93721771,14.93721771,nan,14.93721771,14.93721771,nan,stage1,0.538461566,0
IRSTD-1K,XDU189,2,1,1,0.79624933,0.7665037513,0.7494665384,0.7494665384,0.7494665384,3.737450838,3.824790716,4.446011543,1,4.446011543,4.446011543,0,high_raw,0.538461566,0
IRSTD-1K,XDU189,3,1,0,0.7493931055,0.7348031402,0.7311858535,0.7311858535,0.7311858535,1.067638278,1.987663507,3.239009142,1,3.239009142,3.239009142,0,high_raw,0.538461566,0
IRSTD-1K,XDU189,4,1,0,0.6415153742,0.6368044615,0.6256365776,0.6256365776,0.6256365776,0.4208925366,0.584322691,0.5005664825,1,0.5005664825,0.5005664825,0,high_raw,0.538461566,0
IRSTD-1K,XDU935,1,1,1,0.5648415685,0.6560021043,0.6560021043,0.6560021043,0.6560021043,2.313298464,14.3193512,14.3193512,nan,14.3193512,14.3193512,nan,stage1,0.8000000119,0
IRSTD-1K,XDU935,2,1,1,0.7992262244,0.7591452599,0.7674360275,0.7674360275,0.7674360275,5.521331787,4.299732685,5.177757263,1,5.177757263,5.177757263,0,high_raw,0.8000000119,0
IRSTD-1K,XDU935,3,1,0,0.7379113436,0.7113590837,0.7074297071,0.7074297071,0.7074297071,0.7526641488,2.028333187,2.917029381,1,2.917029381,2.917029381,0,high_raw,0.8000000119,0
IRSTD-1K,XDU935,4,1,0,0.7082735896,0.6945727468,0.6994897127,0.6994897127,0.6994897127,1.034798265,1.022874713,1.050894141,1,1.050894141,1.050894141,0,high_raw,0.8000000119,0
IRSTD-1K,XDU672,1,1,1,0.6021975279,0.6623355746,0.6623355746,0.6623355746,0.6623355746,2.162759304,8.275111198,8.275111198,nan,8.275111198,8.275111198,nan,stage1,0.470588237,0
IRSTD-1K,XDU672,2,1,1,0.8020020723,0.7663704753,0.7689290047,0.7689290047,0.7689290047,2.277923584,2.19105649,3.153309584,1,3.153309584,3.153309584,0,high_raw,0.470588237,0
IRSTD-1K,XDU672,3,1,0,0.7993936539,0.7510688305,0.7507736087,0.7507736087,0.7507736087,1.47386694,2.320599794,3.017810106,1,3.017810106,3.017810106,0,high_raw,0.470588237,0
IRSTD-1K,XDU672,4,1,0,0.6157866716,0.6454388499,0.6325001121,0.6325001121,0.6325001121,0.5767885447,0.7524855137,0.7067973614,1,0.7067973614,0.7067973614,0,high_raw,0.470588237,0
IRSTD-1K,XDU231,1,1,1,0.5743497014,0.739544332,0.739544332,0.739544332,0.739544332,6.894389153,6.215697765,6.215697765,nan,6.215697765,6.215697765,nan,stage1,0.712962985,0
IRSTD-1K,XDU231,2,1,1,0.8606466055,0.8415647149,0.8384354115,0.8384354115,0.8384354115,1.382873416,2.228428125,2.426941395,1,2.426941395,2.426941395,0,high_raw,0.712962985,0
IRSTD-1K,XDU231,3,1,0,0.7441871166,0.7340080142,0.7415510416,0.7415510416,0.7415510416,0.7002807856,1.508415937,2.009001493,1,2.009001493,2.009001493,0,high_raw,0.712962985,0
IRSTD-1K,XDU231,4,1,0,0.5433268547,0.494877845,0.4888445735,0.4888445735,0.4888445735,0.2526296377,0.3661980331,0.3838624954,1,0.3838624954,0.3838624954,0,high_raw,0.712962985,0
IRSTD-1K,XDU818,1,1,1,0.5914399624,0.6832804084,0.6832804084,0.6832804084,0.6832804084,1.101740718,2.70327878,2.70327878,nan,2.70327878,2.70327878,nan,stage1,0.4444444478,0
IRSTD-1K,XDU818,2,1,1,0.7737813592,0.7394445539,0.7408372164,0.7408372164,0.7408372164,1.198086381,1.150586128,1.504455328,1,1.504455328,1.504455328,0,high_raw,0.4444444478,0
IRSTD-1K,XDU818,3,1,0,0.8169058561,0.7730352879,0.7408636808,0.7408636808,0.7408636808,1.075317264,1.108427525,1.333137155,1,1.333137155,1.333137155,0,high_raw,0.4444444478,0
IRSTD-1K,XDU818,4,1,0,0.5301598907,0.4540235102,0.458448559,0.458448559,0.458448559,1.060033321,0.9590032101,1.031113148,1,1.031113148,1.031113148,0,high_raw,0.4444444478,0
IRSTD-1K,XDU888,1,1,1,0.4855347574,0.6291969419,0.6291969419,0.6291969419,0.6291969419,2.980436802,18.92369461,18.92369461,nan,18.92369461,18.92369461,nan,stage1,0.400000006,0
IRSTD-1K,XDU888,2,1,1,0.7389103174,0.6961467862,0.7238337994,0.7238337994,0.7238337994,8.872821808,6.89154911,9.206429482,1,9.206429482,9.206429482,0,high_raw,0.400000006,0
IRSTD-1K,XDU888,3,1,0,0.7046308517,0.7018159032,0.7047824264,0.7047824264,0.7047824264,1.266519666,2.521831512,3.554722786,1,3.554722786,3.554722786,0,high_raw,0.400000006,0
IRSTD-1K,XDU888,4,1,0,0.7169801593,0.691986382,0.6944436431,0.6944436431,0.6944436431,0.5026904345,0.6189914942,0.5608881712,1,0.5608881712,0.5608881712,0,high_raw,0.400000006,0
IRSTD-1K,XDU146,1,1,1,0.4359305203,0.6031470299,0.6031470299,0.6031470299,0.6031470299,6.893465519,15.53736591,15.53736591,nan,15.53736591,15.53736591,nan,stage1,0.9111111164,0
IRSTD-1K,XDU146,2,1,1,0.7542109489,0.6975246668,0.707605958,0.707605958,0.707605958,6.371773243,5.816501617,5.203938007,1,5.203938007,5.203938007,0,high_raw,0.9111111164,0
IRSTD-1K,XDU146,3,1,0,0.6932691336,0.7440098524,0.7309114337,0.7309114337,0.7309114337,1.693022132,3.175833464,4.044218063,1,4.044218063,4.044218063,0,high_raw,0.9111111164,0
IRSTD-1K,XDU146,4,1,0,0.6988287568,0.6865957975,0.6258574724,0.6258574724,0.6258574724,0.8616260886,1.095657706,1.124578476,1,1.124578476,1.124578476,0,high_raw,0.9111111164,0
IRSTD-1K,XDU48,1,1,1,0.5569859147,0.6449940205,0.6449940205,0.6449940205,0.6449940205,4.73319006,30.7465992,30.7465992,nan,30.7465992,30.7465992,nan,stage1,0.6666666865,0
IRSTD-1K,XDU48,2,1,1,0.7871815562,0.7511991262,0.7527798414,0.7527798414,0.7527798414,4.445513725,3.738916159,5.254772186,1,5.254772186,5.254772186,0,high_raw,0.6666666865,0
IRSTD-1K,XDU48,3,1,0,0.7846934795,0.7818956971,0.7732073069,0.7732073069,0.7732073069,2.001886129,2.78682375,4.688690662,1,4.688690662,4.688690662,0,high_raw,0.6666666865,0
IRSTD-1K,XDU48,4,1,0,0.6705112457,0.6715416312,0.6351578236,0.6351578236,0.6351578236,0.7621482611,0.7355046272,0.8799229264,1,0.8799229264,0.8799229264,0,high_raw,0.6666666865,0
IRSTD-1K,XDU492,1,1,1,0.5677173734,0.6940190792,0.6940190792,0.6940190792,0.6940190792,4.052138329,12.73203754,12.73203754,nan,12.73203754,12.73203754,nan,stage1,0.5641025901,0
IRSTD-1K,XDU492,2,1,1,0.7803387642,0.7555992603,0.7615581155,0.7615581155,0.7615581155,5.217828274,4.655582905,5.253229618,1,5.253229618,5.253229618,0,high_raw,0.5641025901,0
IRSTD-1K,XDU492,3,1,0,0.6546984911,0.6633924246,0.6873497963,0.6873497963,0.6873497963,1.093045831,2.366740227,3.776168346,1,3.776168346,3.776168346,0,high_raw,0.5641025901,0
IRSTD-1K,XDU492,4,1,0,0.6959840059,0.6565609574,0.6610486507,0.6610486507,0.6610486507,0.3465899229,0.6210771799,0.5350576043,1,0.5350576043,0.5350576043,0,high_raw,0.5641025901,0
IRSTD-1K,XDU241,1,1,1,0.531093061,0.6567773819,0.6567773819,0.6567773819,0.6567773819,2.597058773,9.220131874,9.220131874,nan,9.220131874,9.220131874,nan,stage1,1,0
IRSTD-1K,XDU241,2,1,1,0.771437943,0.7437890768,0.742623508,0.742623508,0.742623508,1.479951262,1.494543791,2.151656866,1,2.151656866,2.151656866,0,high_raw,1,0
IRSTD-1K,XDU241,3,1,0,0.7641128302,0.7433294654,0.717256248,0.717256248,0.717256248,1.207368851,1.579585195,1.754406214,1,1.754406214,1.754406214,0,high_raw,1,0
IRSTD-1K,XDU241,4,1,0,0.6940190196,0.700966239,0.6752337813,0.6752337813,0.6752337813,0.6993937492,0.656205833,0.6744251847,1,0.6744251847,0.6744251847,0,high_raw,1,0
IRSTD-1K,XDU195,1,1,1,0.6058412194,0.6802718639,0.6802718639,0.6802718639,0.6802718639,4.841939449,9.996939659,9.996939659,nan,9.996939659,9.996939659,nan,stage1,0.380952388,0
IRSTD-1K,XDU195,2,1,1,0.8187097311,0.7921440601,0.7914784551,0.7914784551,0.7914784551,1.57717669,2.359060049,2.857858658,1,2.857858658,2.857858658,0,high_raw,0.380952388,0
IRSTD-1K,XDU195,3,1,0,0.7975358963,0.7731864452,0.771137476,0.771137476,0.771137476,1.614471078,1.927347541,2.139653921,1,2.139653921,2.139653921,0,high_raw,0.380952388,0
IRSTD-1K,XDU195,4,1,0,0.6890051961,0.6417735815,0.6374212503,0.6374212503,0.6374212503,0.985563755,1.093814254,1.03346622,1,1.03346622,1.03346622,0,high_raw,0.380952388,0
IRSTD-1K,XDU801,1,1,1,0.5877637863,0.7172514796,0.7172514796,0.7172514796,0.7172514796,2.508889198,5.24968195,5.24968195,nan,5.24968195,5.24968195,nan,stage1,0.3333333433,0
IRSTD-1K,XDU801,2,1,1,0.8145518303,0.7933007479,0.7935577035,0.7935577035,0.7935577035,1.09536171,1.402114034,1.973220468,1,1.973220468,1.973220468,0,high_raw,0.3333333433,0
IRSTD-1K,XDU801,3,1,0,0.7273951173,0.7116956711,0.6835612059,0.6835612059,0.6835612059,1.565972328,2.213148355,2.521377325,1,2.521377325,2.521377325,0,high_raw,0.3333333433,0
IRSTD-1K,XDU801,4,1,0,0.7234430313,0.6873673797,0.662191987,0.662191987,0.662191987,0.5720639229,0.7344580293,0.6150507331,1,0.6150507331,0.6150507331,0,high_raw,0.3333333433,0
IRSTD-1K,XDU104,1,1,1,0.5744696259,0.6533360481,0.6533360481,0.6533360481,0.6533360481,2.790762186,40.86055756,40.86055756,nan,40.86055756,40.86055756,nan,stage1,0.25,0
IRSTD-1K,XDU104,2,1,1,0.7633756995,0.7003768086,0.733420372,0.733420372,0.733420372,4.317749977,3.004491091,4.761229515,1,4.761229515,4.761229515,0,high_raw,0.25,0
IRSTD-1K,XDU104,3,1,0,0.7500712872,0.7231326699,0.725495398,0.725495398,0.725495398,2.051575422,2.220654964,3.187775612,1,3.187775612,3.187775612,0,high_raw,0.25,0
IRSTD-1K,XDU104,4,1,0,0.3028652966,0.5970790982,0.6661959291,0.6661959291,0.6661959291,0.7933443189,0.8392704725,0.9359128475,1,0.9359128475,0.9359128475,0,high_raw,0.25,0
IRSTD-1K,XDU637,1,1,1,0.5894032121,0.6634063125,0.6634063125,0.6634063125,0.6634063125,2.127354145,7.465936184,7.465936184,nan,7.465936184,7.465936184,nan,stage1,0.5,0
IRSTD-1K,XDU637,2,1,1,0.7990565896,0.7700909972,0.7683344483,0.7683344483,0.7683344483,2.051662207,1.960746765,2.783643246,1,2.783643246,2.783643246,0,high_raw,0.5,0
IRSTD-1K,XDU637,3,1,0,0.7903002501,0.7689694166,0.7810795307,0.7810795307,0.7810795307,1.833948016,1.529067993,2.191965103,1,2.191965103,2.191965103,0,high_raw,0.5,0
IRSTD-1K,XDU637,4,1,0,0.7281346321,0.715721786,0.7174816132,0.7174816132,0.7174816132,1.247811437,1.056004286,1.135760069,1,1.135760069,1.135760069,0,high_raw,0.5,0
IRSTD-1K,XDU996,1,1,1,0.631300807,0.7255550027,0.7255550027,0.7255550027,0.7255550027,4.776911736,10.36115742,10.36115742,nan,10.36115742,10.36115742,nan,stage1,0.25,1
IRSTD-1K,XDU996,2,1,1,0.8498655558,0.8167400956,0.8113257885,0.8113257885,0.8113257885,4.763955593,4.73775959,4.755644321,1,4.755644321,4.755644321,0,high_raw,0.25,1
IRSTD-1K,XDU996,3,1,0,0.7783192396,0.7724121809,0.7729340792,0.7729340792,0.7729340792,1.285187364,2.42443347,3.659714222,1,3.659714222,3.659714222,0,high_raw,0.25,1
IRSTD-1K,XDU996,4,1,0,0.6579999924,0.6362462044,0.6225163341,0.6225163341,0.6225163341,0.2564676106,0.4676134884,0.4419889152,1,0.4419889152,0.4419889152,0,high_raw,0.25,1
IRSTD-1K,XDU482,1,1,1,0.5762034059,0.7065883875,0.7065883875,0.7065883875,0.7065883875,5.552194595,9.294045448,9.294045448,nan,9.294045448,9.294045448,nan,stage1,0.5217391253,0
IRSTD-1K,XDU482,2,1,1,0.847997725,0.8184773326,0.8132452369,0.8132452369,0.8132452369,1.507193565,2.16565156,2.315726519,1,2.315726519,2.315726519,0,high_raw,0.5217391253,0
IRSTD-1K,XDU482,3,1,0,0.7748291492,0.7688435316,0.7723215818,0.7723215818,0.7723215818,1.183022857,1.817489266,2.01575923,1,2.01575923,2.01575923,0,high_raw,0.5217391253,0
IRSTD-1K,XDU482,4,1,0,0.6214318871,0.6218183637,0.6099027991,0.6099027991,0.6099027991,0.6528480649,0.8236019015,0.8743141294,1,0.8743141294,0.8743141294,0,high_raw,0.5217391253,0
IRSTD-1K,XDU406,1,1,1,0.5860517621,0.7103623152,0.7103623152,0.7103623152,0.7103623152,4.484978676,5.670679092,5.670679092,nan,5.670679092,5.670679092,nan,stage1,0.6025640965,0
IRSTD-1K,XDU406,2,1,1,0.8548799753,0.8318468332,0.822884202,0.822884202,0.822884202,2.016693592,2.626618862,2.954387426,1,2.954387426,2.954387426,0,high_raw,0.6025640965,0
IRSTD-1K,XDU406,3,1,0,0.7746120691,0.749375999,0.7584026456,0.7584026456,0.7584026456,0.4814779758,1.527899146,2.200656414,1,2.200656414,2.200656414,0,high_raw,0.6025640965,0
