dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,R_high_high_for_fusion,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,high_for_fusion_fg_bg,gate_fg_minus_bg,block_fusion_high_source,pred_iou,pred_has_false_alarm
IRSTD-1K,XDU189,1,1,1,0.6143035889,0.7097717524,0.7097717524,0.7097717524,0.7097717524,4.44794035,13.91365814,13.91365814,nan,13.91365814,13.91365814,nan,stage1,0.6363636255,0
IRSTD-1K,XDU189,2,1,1,0.7865783572,0.7582288384,0.7588427663,0.7588427663,0.7582288384,5.863345146,5.768746376,5.868886471,1,5.868886471,5.768746376,0,residual,0.6363636255,0
IRSTD-1K,XDU189,3,1,0,0.7756746411,0.7503151298,0.7277519703,0.7277519703,0.7503151298,5.401157856,4.990609169,5.579754353,1,5.579754353,4.990609169,0,residual,0.6363636255,0
IRSTD-1K,XDU189,4,1,0,0.740649581,0.7061953545,0.6885788441,0.6885788441,0.7061953545,0.7790506482,0.8800394535,0.9767924547,1,0.9767924547,0.8800394535,0,residual,0.6363636255,0
IRSTD-1K,XDU935,1,1,1,0.5745030046,0.6619127393,0.6619127393,0.6619127393,0.6619127393,1.987643123,11.89867401,11.89867401,nan,11.89867401,11.89867401,nan,stage1,0.6153846383,1
IRSTD-1K,XDU935,2,1,1,0.8047978282,0.7676078677,0.7671895027,0.7671895027,0.7676078677,6.51293993,5.197149754,6.347569466,1,6.347569466,5.197149754,0,residual,0.6153846383,1
IRSTD-1K,XDU935,3,1,0,0.7139649987,0.6911777854,0.7212649584,0.7212649584,0.6911777854,4.114705086,3.558879137,4.895174503,1,4.895174503,3.558879137,0,residual,0.6153846383,1
IRSTD-1K,XDU935,4,1,0,0.6579669714,0.6612044573,0.653188169,0.653188169,0.6612044573,0.5956350565,1.096552372,1.036168933,1,1.036168933,1.096552372,0,residual,0.6153846383,1
IRSTD-1K,XDU672,1,1,1,0.6146044731,0.6631278396,0.6631278396,0.6631278396,0.6631278396,1.658887267,6.396934986,6.396934986,nan,6.396934986,6.396934986,nan,stage1,0.538461566,0
IRSTD-1K,XDU672,2,1,1,0.8195143342,0.7941183448,0.7982651591,0.7982651591,0.7941183448,3.271101713,3.06375742,3.648646593,1,3.648646593,3.06375742,0,residual,0.538461566,0
IRSTD-1K,XDU672,3,1,0,0.8054673076,0.762701869,0.7524135709,0.7524135709,0.762701869,2.100934744,3.029068947,4.359344006,1,4.359344006,3.029068947,0,residual,0.538461566,0
IRSTD-1K,XDU672,4,1,0,0.7159742117,0.6833224893,0.6804166436,0.6804166436,0.6833224893,0.4883879423,0.5452509522,0.6148468852,1,0.6148468852,0.5452509522,0,residual,0.538461566,0
IRSTD-1K,XDU231,1,1,1,0.584484458,0.7471901178,0.7471901178,0.7471901178,0.7471901178,7.514177799,6.706251144,6.706251144,nan,6.706251144,6.706251144,nan,stage1,0.7450980544,0
IRSTD-1K,XDU231,2,1,1,0.871881187,0.8350144029,0.8346500993,0.8346500993,0.8350144029,2.999550343,4.004814148,3.5773592,1,3.5773592,4.004814148,0,residual,0.7450980544,0
IRSTD-1K,XDU231,3,1,0,0.8299890757,0.8199569583,0.8103482127,0.8103482127,0.8199569583,1.587587953,2.496721983,3.421575308,1,3.421575308,2.496721983,0,residual,0.7450980544,0
IRSTD-1K,XDU231,4,1,0,0.6411209702,0.6100866199,0.6111331582,0.6111331582,0.6100866199,0.4450573325,0.5199028254,0.5300374627,1,0.5300374627,0.5199028254,0,residual,0.7450980544,0
IRSTD-1K,XDU818,1,1,1,0.604737103,0.6843001246,0.6843001246,0.6843001246,0.6843001246,1.053714871,2.467119932,2.467119932,nan,2.467119932,2.467119932,nan,stage1,0.4166666567,0
IRSTD-1K,XDU818,2,1,1,0.8149846196,0.7915252447,0.7938238978,0.7938238978,0.7915252447,1.697934389,1.628008842,1.962742567,1,1.962742567,1.628008842,0,residual,0.4166666567,0
IRSTD-1K,XDU818,3,1,0,0.798738122,0.7388805747,0.7088030577,0.7088030577,0.7388805747,5.247312069,2.82783556,3.361318588,1,3.361318588,2.82783556,0,residual,0.4166666567,0
IRSTD-1K,XDU818,4,1,0,0.754986465,0.6655420661,0.6642733812,0.6642733812,0.6655420661,0.500802815,0.6138933301,0.7505535483,1,0.7505535483,0.6138933301,0,residual,0.4166666567,0
IRSTD-1K,XDU888,1,1,1,0.5141961575,0.625395,0.625395,0.625395,0.625395,3.101541519,17.59414673,17.59414673,nan,17.59414673,17.59414673,nan,stage1,0.3333333433,0
IRSTD-1K,XDU888,2,1,1,0.7446750402,0.7039420605,0.7265638709,0.7265638709,0.7039420605,9.167613029,7.718272209,9.741632462,1,9.741632462,7.718272209,0,residual,0.3333333433,0
IRSTD-1K,XDU888,3,1,0,0.7428660989,0.7229879498,0.7177370787,0.7177370787,0.7229879498,3.14814949,3.306538343,4.708185673,1,4.708185673,3.306538343,0,residual,0.3333333433,0
IRSTD-1K,XDU888,4,1,0,0.7101632357,0.6797529459,0.6716492772,0.6716492772,0.6797529459,0.6390329599,0.9901253581,0.8536504507,1,0.8536504507,0.9901253581,0,residual,0.3333333433,0
IRSTD-1K,XDU146,1,1,1,0.4657012224,0.6124618649,0.6124618649,0.6124618649,0.6124618649,7.262633801,16.90940857,16.90940857,nan,16.90940857,16.90940857,nan,stage1,0.8849557638,0
IRSTD-1K,XDU146,2,1,1,0.7340738177,0.660910964,0.6619350314,0.6619350314,0.660910964,5.872684002,5.631202221,5.763659477,1,5.763659477,5.631202221,0,residual,0.8849557638,0
IRSTD-1K,XDU146,3,1,0,0.8072677255,0.802548945,0.7870591283,0.7870591283,0.802548945,3.021244049,3.530864954,4.554283619,1,4.554283619,3.530864954,0,residual,0.8849557638,0
IRSTD-1K,XDU146,4,1,0,0.7882993817,0.7918274999,0.7702769637,0.7702769637,0.7918274999,1.08212173,1.504428744,1.587092042,1,1.587092042,1.504428744,0,residual,0.8849557638,0
