dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,R_high_high_for_fusion,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,high_for_fusion_fg_bg,gate_fg_minus_bg,block_fusion_high_source,pred_iou,pred_has_false_alarm
NUAA-SIRST,Misc_338,1,1,1,0.4827954173,0.637996614,0.637996614,0.637996614,0.637996614,1.202725053,20.59327316,20.59327316,nan,20.59327316,20.59327316,nan,stage1,0.7142857313,0
NUAA-SIRST,Misc_338,2,1,1,0.7300443053,0.6801200509,0.6704931259,0.6739690304,0.6704931259,3.31965971,2.737108469,2.875375986,1.05293119,2.914993048,2.875375986,0.03164750338,high_raw,0.7142857313,0
NUAA-SIRST,Misc_338,3,1,0,0.5587806106,0.4328021407,0.4418638945,0.4389913082,0.4418638945,1.206787825,1.241014719,1.406470537,1.050163269,1.426301122,1.406470537,0.03121131659,high_raw,0.7142857313,0
NUAA-SIRST,Misc_338,4,1,0,0.2502582371,0.2318035215,0.2169309855,0.193622604,0.2169309855,1.103391409,1.08105731,1.07643497,0.9898198247,1.068006992,1.07643497,-0.005349338055,high_raw,0.7142857313,0
NUAA-SIRST,Misc_379,1,1,1,0.5902360678,0.6197320223,0.6197320223,0.6197320223,0.6197320223,1.306191802,4.589345455,4.589345455,nan,4.589345455,4.589345455,nan,stage1,0,0
NUAA-SIRST,Misc_379,2,1,1,0.8108344674,0.785102129,0.7866721153,0.7829751372,0.7866721153,2.039469004,2.0390625,2.196158886,0.8792557716,1.99647963,2.196158886,-0.07344156504,high_raw,0,0
NUAA-SIRST,Misc_379,3,1,0,0.6805344224,0.6876286268,0.6863809824,0.6654914021,0.6863809824,1.154516101,1.644444108,1.588171721,1.050673127,1.541115403,1.588171721,0.02833682299,high_raw,0,0
NUAA-SIRST,Misc_379,4,1,0,0.5375689268,0.6937237382,0.6860995293,0.6323267817,0.6860995293,0.9166238308,1.549222708,1.575445652,0.9014522433,1.413189411,1.575445652,-0.05768167973,high_raw,0,0
NUAA-SIRST,Misc_422,1,1,1,0.5469418764,0.6207125187,0.6207125187,0.6207125187,0.6207125187,3.902970552,15.34307671,15.34307671,nan,15.34307671,15.34307671,nan,stage1,0.7826086879,0
NUAA-SIRST,Misc_422,2,1,1,0.8587765098,0.8331503272,0.8272989988,0.8235561252,0.8272989988,4.029138088,4.516460419,5.506159782,1.107953787,5.515683651,5.506159782,0.06394422054,high_raw,0.7826086879,0
NUAA-SIRST,Misc_422,3,1,0,0.3934880495,0.3819753528,0.3879730105,0.3980099261,0.3879730105,0.7402189374,1.206281185,1.296419263,1.113296628,1.352723837,1.296419263,0.06983083487,high_raw,0.7826086879,0
NUAA-SIRST,Misc_422,4,1,0,0.4690974653,0.5524308085,0.542152226,0.5160562992,0.542152226,1.057015061,0.907551229,0.8902363181,0.9846019149,0.8958939314,0.8902363181,-0.008554637432,high_raw,0.7826086879,0
