dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,R_high_high_for_fusion,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,high_for_fusion_fg_bg,gate_fg_minus_bg,block_fusion_high_source,pred_iou,pred_has_false_alarm
NUAA-SIRST,Misc_338,1,1,1,0.3743674755,0.6459622979,0.6459622979,0.6459622979,0.6459622979,1.123064399,20.79217911,20.79217911,nan,20.79217911,20.79217911,nan,stage1,0.625,0
NUAA-SIRST,Misc_338,2,1,1,0.8170042634,0.7688801885,0.720256269,0.720256269,0.720256269,4.730123043,3.793006897,3.393450499,1,3.393450499,3.393450499,0,high_raw,0.625,0
NUAA-SIRST,Misc_338,3,1,0,0.3958087862,0.4265513718,0.5443477631,0.5443477631,0.5443477631,1.016301513,1.31415391,1.796172976,1,1.796172976,1.796172976,0,high_raw,0.625,0
NUAA-SIRST,Misc_338,4,1,0,0.4279814661,0.3241479993,0.2867108881,0.2867108881,0.2867108881,1.042139053,1.023947716,1.018847823,1,1.018847823,1.018847823,0,high_raw,0.625,0
NUAA-SIRST,Misc_379,1,1,1,0.5904271603,0.629817605,0.629817605,0.629817605,0.629817605,1.423264384,5.44754076,5.44754076,nan,5.44754076,5.44754076,nan,stage1,0.6886792183,0
NUAA-SIRST,Misc_379,2,1,1,0.8218982816,0.8022862673,0.8017203808,0.8017203808,0.8017203808,3.500244141,2.775645494,2.858748674,1,2.858748674,2.858748674,0,high_raw,0.6886792183,0
NUAA-SIRST,Misc_379,3,1,0,0.7710646391,0.7455688119,0.7411539555,0.7411539555,0.7411539555,0.8799099922,1.543800592,1.81836307,1,1.81836307,1.81836307,0,high_raw,0.6886792183,0
NUAA-SIRST,Misc_379,4,1,0,0.5920503139,0.4866269827,0.5192167759,0.5192167759,0.5192167759,1.072272778,0.9888252616,1.176415563,1,1.176415563,1.176415563,0,high_raw,0.6886792183,0
NUAA-SIRST,Misc_422,1,1,1,0.5642173886,0.6327317357,0.6327317357,0.6327317357,0.6327317357,3.806444645,17.87060165,17.87060165,nan,17.87060165,17.87060165,nan,stage1,0.75,0
NUAA-SIRST,Misc_422,2,1,1,0.8916909099,0.8797384501,0.8705385327,0.8705385327,0.8705385327,6.331299305,6.086810589,5.356449127,1,5.356449127,5.356449127,0,high_raw,0.75,0
NUAA-SIRST,Misc_422,3,1,0,0.814704895,0.7887496352,0.7687456012,0.7687456012,0.7687456012,0.3887296617,1.73411727,1.93243897,1,1.93243897,1.93243897,0,high_raw,0.75,0
NUAA-SIRST,Misc_422,4,1,0,0.6738383174,0.5165026188,0.5453352332,0.5453352332,0.5453352332,1.070593715,0.990681231,0.9588536024,1,0.9588536024,0.9588536024,0,high_raw,0.75,0
NUAA-SIRST,Misc_73,1,1,1,0.5657641888,0.7051801085,0.7051801085,0.7051801085,0.7051801085,4.487000465,7.835865974,7.835865974,nan,7.835865974,7.835865974,nan,stage1,1,0
NUAA-SIRST,Misc_73,2,1,1,0.8544434309,0.8308129907,0.8289473057,0.8289473057,0.8289473057,3.513927221,4.094419956,4.8910923,1,4.8910923,4.8910923,0,high_raw,1,0
NUAA-SIRST,Misc_73,3,1,0,0.740742743,0.7260070443,0.711163342,0.711163342,0.711163342,2.103293896,2.141466379,3.043427706,1,3.043427706,3.043427706,0,high_raw,1,0
NUAA-SIRST,Misc_73,4,1,0,0.657102108,0.5922340155,0.5787984729,0.5787984729,0.5787984729,1.204285145,1.73199749,1.701915264,1,1.701915264,1.701915264,0,high_raw,1,0
NUAA-SIRST,Misc_321,1,1,1,0.5046174526,0.6183463335,0.6183463335,0.6183463335,0.6183463335,3.726762056,18.44317436,18.44317436,nan,18.44317436,18.44317436,nan,stage1,0.6666666865,1
NUAA-SIRST,Misc_321,2,1,1,0.8884130716,0.8730905652,0.8635971546,0.8635971546,0.8635971546,3.97962141,4.161503792,3.453502417,1,3.453502417,3.453502417,0,high_raw,0.6666666865,1
NUAA-SIRST,Misc_321,3,1,0,0.7986442447,0.7762342691,0.7612593174,0.7612593174,0.7612593174,0.4867651463,1.320964336,1.580509424,1,1.580509424,1.580509424,0,high_raw,0.6666666865,1
NUAA-SIRST,Misc_321,4,1,0,0.7461519837,0.5522130132,0.5991741419,0.5991741419,0.5991741419,0.8600076437,0.7548069954,1.180824995,1,1.180824995,1.180824995,0,high_raw,0.6666666865,1
NUAA-SIRST,Misc_162,1,1,1,0.5298025012,0.6488206983,0.6488206983,0.6488206983,0.6488206983,1.717260242,20.64812088,20.64812088,nan,20.64812088,20.64812088,nan,stage1,0.7272727489,0
NUAA-SIRST,Misc_162,2,1,1,0.8386968374,0.8165483475,0.8133373857,0.8133373857,0.8133373857,8.898801804,6.243240356,5.801671505,1,5.801671505,5.801671505,0,high_raw,0.7272727489,0
NUAA-SIRST,Misc_162,3,1,0,0.6392347813,0.6470906734,0.6560021043,0.6560021043,0.6560021043,0.5960304141,2.28979826,2.759901047,1,2.759901047,2.759901047,0,high_raw,0.7272727489,0
NUAA-SIRST,Misc_162,4,1,0,0.5432520509,0.4424734712,0.4164899886,0.4164899886,0.4164899886,1.099153638,0.9775278568,0.9798425436,1,0.9798425436,0.9798425436,0,high_raw,0.7272727489,0
NUAA-SIRST,Misc_372,1,1,1,0.4289247394,0.6270173788,0.6270173788,0.6270173788,0.6270173788,1.263375878,8.906655312,8.906655312,nan,8.906655312,8.906655312,nan,stage1,0.814814806,0
NUAA-SIRST,Misc_372,2,1,1,0.8541778326,0.8311455846,0.8253135681,0.8253135681,0.8253135681,6.961167336,5.173080444,4.705047607,1,4.705047607,4.705047607,0,high_raw,0.814814806,0
NUAA-SIRST,Misc_372,3,1,0,0.7284895778,0.7147670984,0.722917974,0.722917974,0.722917974,0.5948340893,1.185760379,1.579825282,1,1.579825282,1.579825282,0,high_raw,0.814814806,0
NUAA-SIRST,Misc_372,4,1,0,0.5310971737,0.3793824315,0.3937262893,0.3937262893,0.3937262893,0.9849014878,0.8164616823,1.101677299,1,1.101677299,1.101677299,0,high_raw,0.814814806,0
NUAA-SIRST,Misc_185,1,1,1,0.4771710932,0.6321269274,0.6321269274,0.6321269274,0.6321269274,2.841191053,19.00273895,19.00273895,nan,19.00273895,19.00273895,nan,stage1,0.8269230723,0
NUAA-SIRST,Misc_185,2,1,1,0.8599912524,0.8382104635,0.8273648024,0.8273648024,0.8273648024,8.387189865,7.284740925,6.339910507,1,6.339910507,6.339910507,0,high_raw,0.8269230723,0
NUAA-SIRST,Misc_185,3,1,0,0.6769450307,0.7349873781,0.7719473243,0.7719473243,0.7719473243,0.6315944195,1.951332569,2.529673576,1,2.529673576,2.529673576,0,high_raw,0.8269230723,0
NUAA-SIRST,Misc_185,4,1,0,0.5089450479,0.6965863109,0.7407266498,0.7407266498,0.7407266498,0.9700504541,1.426748633,1.703303099,1,1.703303099,1.703303099,0,high_raw,0.8269230723,0
NUAA-SIRST,Misc_420,1,1,1,0.4359340966,0.6275447607,0.6275447607,0.6275447607,0.6275447607,1.27129209,14.34134102,14.34134102,nan,14.34134102,14.34134102,nan,stage1,0.7419354916,0
NUAA-SIRST,Misc_420,2,1,1,0.8574380875,0.8455762863,0.8300003409,0.8300003409,0.8300003409,6.049467564,4.757059097,4.034693241,1.000000119,4.034693241,4.034693241,5.960464478e-08,high_raw,0.7419354916,0
NUAA-SIRST,Misc_420,3,1,0,0.6947569847,0.6670272946,0.7179382443,0.7179382443,0.7179382443,0.8391132355,1.41500473,1.862122655,1,1.862122655,1.862122655,0,high_raw,0.7419354916,0
NUAA-SIRST,Misc_420,4,1,0,0.4410866499,0.4257296622,0.3198325038,0.3198325038,0.3198325038,0.773480773,0.8799672723,0.9361175299,1,0.9361175299,0.9361175299,0,high_raw,0.7419354916,0
