dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,R_high_high_for_fusion,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,high_for_fusion_fg_bg,gate_fg_minus_bg,block_fusion_high_source,pred_iou,pred_has_false_alarm
NUAA-SIRST,Misc_338,1,1,1,0.3623487651,0.6362118721,0.6362118721,0.6362118721,0.6362118721,1.07089889,19.06898308,19.06898308,nan,19.06898308,19.06898308,nan,stage1,0.625,0
NUAA-SIRST,Misc_338,2,1,1,0.7913528085,0.7417724133,0.6917282939,0.6917282939,0.7417724133,4.435246944,3.843970776,3.521856546,1,3.521856546,3.843970776,0,residual,0.625,0
NUAA-SIRST,Misc_338,3,1,0,0.4325785637,0.3844447732,0.6284293532,0.6284293532,0.3844447732,0.8559409976,1.244998336,2.304743052,1,2.304743052,1.244998336,0,residual,0.625,0
NUAA-SIRST,Misc_338,4,1,0,0.3523599803,0.3870002329,0.3797576427,0.3797576427,0.3870002329,0.9158155322,1.099527001,0.8389515281,1,0.8389515281,1.099527001,0,residual,0.625,0
NUAA-SIRST,Misc_379,1,1,1,0.5740234852,0.6313414574,0.6313414574,0.6313414574,0.6313414574,1.284368753,5.167508602,5.167508602,nan,5.167508602,5.167508602,nan,stage1,0.759493649,0
NUAA-SIRST,Misc_379,2,1,1,0.8136492372,0.7575471997,0.763011992,0.763011992,0.7575471997,2.255666256,1.905274868,1.939594865,1,1.939594865,1.905274868,0,residual,0.759493649,0
NUAA-SIRST,Misc_379,3,1,0,0.7950211763,0.7616536617,0.7668348551,0.7668348551,0.7616536617,2.444039345,2.223418236,2.465710402,1,2.465710402,2.223418236,0,residual,0.759493649,0
NUAA-SIRST,Misc_379,4,1,0,0.7549177408,0.7051229477,0.6835666895,0.6835666895,0.7051229477,0.2946755886,0.6540028453,0.9831147194,1,0.9831147194,0.6540028453,0,residual,0.759493649,0
NUAA-SIRST,Misc_422,1,1,1,0.53078264,0.6390919685,0.6390919685,0.6390919685,0.6390919685,3.544611216,15.00115776,15.00115776,nan,15.00115776,15.00115776,nan,stage1,0.75,0
NUAA-SIRST,Misc_422,2,1,1,0.8720840812,0.8504051566,0.8403181434,0.8403181434,0.8504051566,5.454431057,5.330532074,4.977608204,1,4.977608204,5.330532074,0,residual,0.75,0
