dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,R_high_high_for_fusion,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,high_for_fusion_fg_bg,gate_fg_minus_bg,block_fusion_high_source,pred_iou,pred_has_false_alarm
NUDT-SIRST,000541,1,1,1,0.5785068274,0.6675208211,0.6675208211,0.6675208211,0.6675208211,4.59165287,5.901726246,5.901726246,nan,5.901726246,5.901726246,nan,stage1,1,0
NUDT-SIRST,000541,2,1,1,0.8932878375,0.8745776415,0.8726337552,0.867767036,0.8726337552,2.263929367,2.654092312,3.191534758,1.14463377,3.300633907,3.191534758,0.09149026871,high_raw,1,0
NUDT-SIRST,000541,3,1,0,0.8320906162,0.7901046276,0.7743618488,0.7641322017,0.7743618488,2.319454908,2.233674526,2.349675894,1.050356984,2.218142033,2.349675894,0.02775520086,high_raw,1,0
NUDT-SIRST,000541,4,1,0,0.8809327483,0.7992303371,0.7892608047,0.7701483369,0.7892608047,0.8191931248,0.8492739201,0.7929822803,0.8852565289,0.7936632633,0.7929822803,-0.06319788098,high_raw,1,0
NUDT-SIRST,000832,1,1,1,0.6079313755,0.6627153158,0.6627153158,0.6627153158,0.6627153158,3.057702541,8.692539215,8.692539215,nan,8.692539215,8.692539215,nan,stage1,0.875,0
NUDT-SIRST,000832,2,1,1,0.8038808703,0.7740278244,0.7830927372,0.7820060849,0.7830927372,4.133564949,3.290515423,3.956605196,1.055048823,3.824241638,3.956605196,0.03706496954,high_raw,0.875,0
NUDT-SIRST,000832,3,1,0,0.7476308942,0.6884512901,0.669680655,0.6613048315,0.669680655,1.915922284,1.60243094,1.781099558,1.077612758,1.700137019,1.781099558,0.04113942385,high_raw,0.875,0
NUDT-SIRST,000832,4,1,0,0.6328034997,0.562517941,0.4894044697,0.4667034149,0.4894044697,0.4378686845,0.8100679517,0.7931221724,0.822804749,0.7897420526,0.7931221724,-0.1080464721,high_raw,0.875,0
NUDT-SIRST,000710,1,1,1,0.5661181808,0.6156004667,0.6156004667,0.6156004667,0.6156004667,4.807410717,11.43191814,11.43191814,nan,11.43191814,11.43191814,nan,stage1,0.9038461447,0
NUDT-SIRST,000710,2,1,1,0.7931537032,0.7625012994,0.7674996257,0.7646624446,0.7674996257,4.599651337,4.453037262,5.386735916,1.113974214,5.224491596,5.386735916,0.07551324368,high_raw,0.9038461447,0
NUDT-SIRST,000710,3,1,0,0.8223231435,0.7602678537,0.7531538606,0.7411758304,0.7531538606,2.199345827,2.086182356,2.224035025,1.046149969,2.143407345,2.224035025,0.02551078796,high_raw,0.9038461447,0
NUDT-SIRST,000710,4,1,0,0.8401946425,0.7928333879,0.7821443677,0.7692583799,0.7821443677,0.6490553021,0.9427654147,0.8419806957,0.841676712,0.8100874424,0.8419806957,-0.09079778194,high_raw,0.9038461447,0
NUDT-SIRST,000316,1,1,1,0.5254954696,0.6300615072,0.6300615072,0.6300615072,0.6300615072,4.176326752,11.55209541,11.55209541,nan,11.55209541,11.55209541,nan,stage1,0.9192546606,0
NUDT-SIRST,000316,2,1,1,0.8243154883,0.7898994088,0.7790401578,0.7737320662,0.7790401578,2.386084795,2.40920496,3.091599464,1.131021619,3.18466568,3.091599464,0.08479034901,high_raw,0.9192546606,0
