dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,R_high_high_for_fusion,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,high_for_fusion_fg_bg,gate_fg_minus_bg,block_fusion_high_source,pred_iou,pred_has_false_alarm
NUDT-SIRST,000541,1,1,1,0.5993975997,0.6631108522,0.6631108522,0.6631108522,0.6631108522,4.26587677,5.682423592,5.682423592,nan,5.682423592,5.682423592,nan,stage1,0.9375,0
NUDT-SIRST,000541,2,1,1,0.8819721341,0.846778214,0.8405541778,0.8405541778,0.8405541778,3.352351427,3.080162287,2.563412189,1,2.563412189,2.563412189,0,high_raw,0.9375,0
NUDT-SIRST,000541,3,1,0,0.7553169727,0.7314156294,0.7543403506,0.7543403506,0.7543403506,1.011527538,1.424838662,2.674180984,1,2.674180984,2.674180984,0,high_raw,0.9375,0
NUDT-SIRST,000541,4,1,0,0.6845525503,0.5727065206,0.635114193,0.635114193,0.635114193,1.415865421,1.211732268,0.9168743491,1,0.9168743491,0.9168743491,0,high_raw,0.9375,0
NUDT-SIRST,000832,1,1,1,0.6116993427,0.6437695026,0.6437695026,0.6437695026,0.6437695026,2.585224628,7.69904089,7.69904089,nan,7.69904089,7.69904089,nan,stage1,0.875,0
NUDT-SIRST,000832,2,1,1,0.8001769185,0.7620359659,0.7451736331,0.7451736331,0.7451736331,9.736148834,6.378782272,5.218857288,1,5.218857288,5.218857288,0,high_raw,0.875,0
NUDT-SIRST,000832,3,1,0,0.5191341043,0.661847353,0.7161542177,0.7161542177,0.7161542177,1.057572603,1.787461996,2.046587467,1,2.046587467,2.046587467,0,high_raw,0.875,0
NUDT-SIRST,000832,4,1,0,0.6584030986,0.5475502014,0.446955353,0.446955353,0.446955353,0.4358108044,0.70862782,0.9832682014,1,0.9832682014,0.9832682014,0,high_raw,0.875,0
NUDT-SIRST,000710,1,1,1,0.5822816491,0.6060450673,0.6060450673,0.6060450673,0.6060450673,4.284103394,9.742379189,9.742379189,nan,9.742379189,9.742379189,nan,stage1,0.961538434,0
NUDT-SIRST,000710,2,1,1,0.7648668289,0.7366771102,0.7211474776,0.7211474776,0.7211474776,5.96825552,4.64841795,4.566188812,1,4.566188812,4.566188812,0,high_raw,0.961538434,0
NUDT-SIRST,000710,3,1,0,0.7216735482,0.7647630572,0.7785221338,0.7785221338,0.7785221338,0.8958260417,1.865566254,2.122026205,1,2.122026205,2.122026205,0,high_raw,0.961538434,0
NUDT-SIRST,000710,4,1,0,0.8124929667,0.7185336351,0.6201226711,0.6201226711,0.6201226711,1.379894853,1.370132923,0.9532712102,1,0.9532712102,0.9532712102,0,high_raw,0.961538434,0
NUDT-SIRST,000316,1,1,1,0.5468831062,0.6161136031,0.6161136031,0.6161136031,0.6161136031,3.74893856,10.26572418,10.26572418,nan,10.26572418,10.26572418,nan,stage1,0.9197530746,0
NUDT-SIRST,000316,2,1,1,0.8111060858,0.7820570469,0.7729719281,0.7729719281,0.7729719281,4.8261199,3.964886189,3.208498001,1,3.208498001,3.208498001,0,high_raw,0.9197530746,0
NUDT-SIRST,000316,3,1,0,0.7797410488,0.7682923079,0.7778926492,0.7778926492,0.7778926492,1.489666343,2.305626631,2.400215149,1,2.400215149,2.400215149,0,high_raw,0.9197530746,0
NUDT-SIRST,000316,4,1,0,0.7986440063,0.7281097174,0.7137592435,0.7137592435,0.7137592435,2.16515708,1.910941005,1.672112703,1,1.672112703,1.672112703,0,high_raw,0.9197530746,0
NUDT-SIRST,001142,1,1,1,0.6656035781,0.7562093735,0.7562093735,0.7562093735,0.7562093735,2.38429141,5.225812912,5.225812912,nan,5.225812912,5.225812912,nan,stage1,1,0
NUDT-SIRST,001142,2,1,1,0.849240303,0.8195914626,0.7981674075,0.7981674075,0.7981674075,6.512864113,4.642708778,3.752830029,1,3.752830029,3.752830029,0,high_raw,1,0
NUDT-SIRST,001142,3,1,0,0.5450243354,0.6403407454,0.7493038177,0.7493038177,0.7493038177,1.158071756,1.600067496,2.55552721,1,2.55552721,2.55552721,0,high_raw,1,0
NUDT-SIRST,001142,4,1,0,0.6446020603,0.5655872226,0.4845817983,0.4845817983,0.4845817983,0.5388620496,0.7631714344,0.8862179518,1,0.8862179518,0.8862179518,0,high_raw,1,0
NUDT-SIRST,000409,1,1,1,0.5513497591,0.6215412617,0.6215412617,0.6215412617,0.6215412617,5.413082123,9.505653381,9.505653381,nan,9.505653381,9.505653381,nan,stage1,0.8421052694,0
NUDT-SIRST,000409,2,1,1,0.7868751287,0.7685984969,0.7600275874,0.7600275874,0.7600275874,7.043803215,5.513164997,4.842920303,1,4.842920303,4.842920303,0,high_raw,0.8421052694,0
NUDT-SIRST,000409,3,1,0,0.7654055357,0.720651269,0.7276520729,0.7276520729,0.7276520729,0.8720965981,2.19468832,2.685646772,1,2.685646772,2.685646772,0,high_raw,0.8421052694,0
NUDT-SIRST,000409,4,1,0,0.8077721596,0.6372901201,0.6357030869,0.6357030869,0.6357030869,0.8721242547,1.043944955,0.8516386747,1,0.8516386747,0.8516386747,0,high_raw,0.8421052694,0
NUDT-SIRST,000226,1,1,1,0.5594443679,0.6549133658,0.6549133658,0.6549133658,0.6549133658,2.104796886,3.211946964,3.211946964,nan,3.211946964,3.211946964,nan,stage1,0.902777791,0
NUDT-SIRST,000226,2,1,1,0.7883448005,0.7498822212,0.7306056619,0.7306056619,0.7306056619,4.993871689,3.863173723,3.328311682,1,3.328311682,3.328311682,0,high_raw,0.902777791,0
NUDT-SIRST,000226,3,1,0,0.7210527658,0.6573985815,0.7322667837,0.7322667837,0.7322667837,1.529046893,1.752302766,2.180804253,1,2.180804253,2.180804253,0,high_raw,0.902777791,0
NUDT-SIRST,000226,4,1,0,0.7730015516,0.6049960852,0.5456778407,0.5456778407,0.5456778407,0.6664030552,0.9831306338,0.8475518227,1,0.8475518227,0.8475518227,0,high_raw,0.902777791,0
NUDT-SIRST,001133,1,1,1,0.6697237492,0.7888662815,0.7888662815,0.7888662815,0.7888662815,2.624058485,3.153302908,3.153302908,nan,3.153302908,3.153302908,nan,stage1,1,0
NUDT-SIRST,001133,2,1,1,0.8613575697,0.8389882445,0.8228922486,0.8228922486,0.8228922486,5.654050827,4.357731819,3.647620916,1,3.647620916,3.647620916,0,high_raw,1,0
NUDT-SIRST,001133,3,1,0,0.7135572433,0.6945501566,0.7236719131,0.7236719131,0.7236719131,1.302944779,2.037786722,3.812841892,1,3.812841892,3.812841892,0,high_raw,1,0
NUDT-SIRST,001133,4,1,0,0.7528194189,0.6263788939,0.5345436335,0.5345436335,0.5345436335,0.5171857476,0.9337457418,0.6605738401,1,0.6605738401,0.6605738401,0,high_raw,1,0
NUDT-SIRST,001255,1,1,1,0.5357416868,0.6647487879,0.6647487879,0.6647487879,0.6647487879,3.896722078,4.393816471,4.393816471,nan,4.393816471,4.393816471,nan,stage1,0.8374999762,0
NUDT-SIRST,001255,2,1,1,0.8708957434,0.8239577413,0.8228082061,0.8228082061,0.8228082061,2.280563593,2.320305586,2.115919352,1,2.115919352,2.115919352,0,high_raw,0.8374999762,0
NUDT-SIRST,001255,3,1,0,0.715536952,0.7387474775,0.755266428,0.755266428,0.755266428,1.101551533,1.538909793,2.017391443,1,2.017391443,2.017391443,0,high_raw,0.8374999762,0
NUDT-SIRST,001255,4,1,0,0.5126600862,0.5470782518,0.6112021804,0.6112021804,0.6112021804,0.9478355646,0.8141807914,0.7738700509,1,0.7738700509,0.7738700509,0,high_raw,0.8374999762,0
NUDT-SIRST,000558,1,1,1,0.5742331743,0.6448286772,0.6448286772,0.6448286772,0.6448286772,6.167489052,9.972863197,9.972863197,nan,9.972863197,9.972863197,nan,stage1,0.919354856,0
NUDT-SIRST,000558,2,1,1,0.8617041111,0.8224268556,0.8138184547,0.8138184547,0.8138184547,5.114993095,4.367384911,3.624029636,1,3.624029636,3.624029636,0,high_raw,0.919354856,0
NUDT-SIRST,000558,3,1,0,0.7513488531,0.7614451051,0.7886235118,0.7886235118,0.7886235118,1.106497288,2.364672422,3.301459551,1,3.301459551,3.301459551,0,high_raw,0.919354856,0
NUDT-SIRST,000558,4,1,0,0.5716504455,0.5217429996,0.5709562898,0.5709562898,0.5709562898,0.8911730051,0.8582421541,1.084432244,1,1.084432244,1.084432244,0,high_raw,0.919354856,0
NUDT-SIRST,001000,1,1,1,0.5168384314,0.5935281515,0.5935281515,0.5935281515,0.5935281515,1.127990127,1.685439825,1.685439825,nan,1.685439825,1.685439825,nan,stage1,0.7833333611,1
NUDT-SIRST,001000,2,1,1,0.8164550662,0.7919889092,0.7912092209,0.7912092209,0.7912092209,1.295553088,1.159072518,1.293257117,1,1.293257117,1.293257117,0,high_raw,0.7833333611,1
NUDT-SIRST,001000,3,1,0,0.7637428045,0.7086008191,0.694100678,0.694100678,0.694100678,1.250260592,1.091838479,1.481094718,1,1.481094718,1.481094718,0,high_raw,0.7833333611,1
NUDT-SIRST,001000,4,1,0,0.5088198781,0.463339895,0.451334089,0.451334089,0.451334089,0.7916914821,0.8958127499,0.9418555498,1,0.9418555498,0.9418555498,0,high_raw,0.7833333611,1
NUDT-SIRST,000763,1,1,1,0.5802734494,0.6811307669,0.6811307669,0.6811307669,0.6811307669,4.386896133,6.940152645,6.940152645,nan,6.940152645,6.940152645,nan,stage1,0.571428597,0
NUDT-SIRST,000763,2,1,1,0.8505223393,0.8088895082,0.81242764,0.81242764,0.81242764,2.31162405,2.607154846,2.23489809,1,2.23489809,2.23489809,0,high_raw,0.571428597,0
NUDT-SIRST,000763,3,1,0,0.7262449265,0.6609213352,0.7016748786,0.7016748786,0.7016748786,0.4330991805,1.615759134,2.339321136,1,2.339321136,2.339321136,0,high_raw,0.571428597,0
NUDT-SIRST,000763,4,1,0,0.5659408569,0.4416487515,0.4829625487,0.4829625487,0.4829625487,1.007493377,0.9197404385,0.9591449499,1,0.9591449499,0.9591449499,0,high_raw,0.571428597,0
NUDT-SIRST,000385,1,1,1,0.6381571293,0.7488724589,0.7488724589,0.7488724589,0.7488724589,5.959111214,9.150054932,9.150054932,nan,9.150054932,9.150054932,nan,stage1,1,0
NUDT-SIRST,000385,2,1,1,0.8477336764,0.8149762154,0.8058324456,0.8058324456,0.8058324456,4.177985191,3.933343172,4.06688261,1,4.06688261,4.06688261,0,high_raw,1,0
NUDT-SIRST,000385,3,1,0,0.7657094002,0.7411819696,0.7564096451,0.7564096451,0.7564096451,2.04255724,2.650894403,3.720073938,1,3.720073938,3.720073938,0,high_raw,1,0
NUDT-SIRST,000385,4,1,0,0.6926543713,0.5988222361,0.5481188297,0.5481188297,0.5481188297,0.8801029921,0.8952208161,0.9453829527,1,0.9453829527,0.9453829527,0,high_raw,1,0
NUDT-SIRST,001319,1,1,1,0.5970431566,0.7480714917,0.7480714917,0.7480714917,0.7480714917,4.435130119,4.449565887,4.449565887,nan,4.449565887,4.449565887,nan,stage1,0.8461538553,0
NUDT-SIRST,001319,2,1,1,0.8484899402,0.8150836825,0.8124125004,0.8124125004,0.8124125004,2.078964472,2.506125927,2.445598364,1,2.445598364,2.445598364,0,high_raw,0.8461538553,0
NUDT-SIRST,001319,3,1,0,0.7625358105,0.7355470061,0.7495177984,0.7495177984,0.7495177984,0.6179178953,1.838793516,3.216396332,1,3.216396332,3.216396332,0,high_raw,0.8461538553,0
NUDT-SIRST,001319,4,1,0,0.4995122552,0.4339256883,0.523768425,0.523768425,0.523768425,0.7316884398,0.9055515528,0.9509524107,1,0.9509524107,0.9509524107,0,high_raw,0.8461538553,0
NUDT-SIRST,000591,1,1,1,0.5828805566,0.7040622234,0.7040622234,0.7040622234,0.7040622234,4.745499134,4.880772114,4.880772114,nan,4.880772114,4.880772114,nan,stage1,0.8648648858,0
NUDT-SIRST,000591,2,1,1,0.865383327,0.8319991231,0.831359148,0.831359148,0.831359148,1.425396919,1.894051671,1.795968175,1,1.795968175,1.795968175,0,high_raw,0.8648648858,0
NUDT-SIRST,000591,3,1,0,0.7773783207,0.7470262647,0.739939034,0.739939034,0.739939034,0.9512442946,1.534906149,2.341347218,1,2.341347218,2.341347218,0,high_raw,0.8648648858,0
NUDT-SIRST,000591,4,1,0,0.468570888,0.4854659736,0.5725059509,0.5725059509,0.5725059509,1.007152438,0.8603930473,0.8605471849,1,0.8605471849,0.8605471849,0,high_raw,0.8648648858,0
NUDT-SIRST,000484,1,1,1,0.6306263804,0.6926239133,0.6926239133,0.6926239133,0.6926239133,2.808476925,3.894440174,3.894440174,nan,3.894440174,3.894440174,nan,stage1,0.887323916,0
NUDT-SIRST,000484,2,1,1,0.8752297163,0.8490077853,0.8408598304,0.8408598304,0.8408598304,4.630172253,3.540153265,2.95296979,1,2.95296979,2.95296979,0,high_raw,0.887323916,0
NUDT-SIRST,000484,3,1,0,0.7564924359,0.7491785884,0.7832840681,0.7832840681,0.7832840681,1.007765651,2.464882851,3.63569808,1,3.63569808,3.63569808,0,high_raw,0.887323916,0
NUDT-SIRST,000484,4,1,0,0.5942402482,0.4477313757,0.4964784384,0.4964784384,0.4964784384,1.175191879,1.138591886,1.172343969,1,1.172343969,1.172343969,0,high_raw,0.887323916,0
NUDT-SIRST,001236,1,1,1,0.6554570794,0.7083286643,0.7083286643,0.7083286643,0.7083286643,2.304246426,6.062929153,6.062929153,nan,6.062929153,6.062929153,nan,stage1,0.8999999762,0
NUDT-SIRST,001236,2,1,1,0.8471677899,0.8178240061,0.8100301027,0.8100301027,0.8100301027,2.758375168,2.324348211,2.128259659,1,2.128259659,2.128259659,0,high_raw,0.8999999762,0
NUDT-SIRST,001236,3,1,0,0.7497442365,0.6977155805,0.6878282428,0.6878282428,0.6878282428,1.77090466,1.301131725,2.36898756,1,2.36898756,2.36898756,0,high_raw,0.8999999762,0
NUDT-SIRST,001236,4,1,0,0.7269265652,0.6137905717,0.5955201983,0.5955201983,0.5955201983,1.152697563,0.8970419765,1.437888861,1,1.437888861,1.437888861,0,high_raw,0.8999999762,0
NUDT-SIRST,000334,1,1,1,0.6456410885,0.7368820906,0.7368820906,0.7368820906,0.7368820906,5.544543743,8.078652382,8.078652382,nan,8.078652382,8.078652382,nan,stage1,1,0
NUDT-SIRST,000334,2,1,1,0.8582850695,0.827675581,0.8194897771,0.8194897771,0.8194897771,3.593160629,3.836989641,3.796033621,1,3.796033621,3.796033621,0,high_raw,1,0
NUDT-SIRST,000334,3,1,0,0.7548329234,0.7293525934,0.7190537453,0.7190537453,0.7190537453,1.0832026,1.565915942,2.072843075,1,2.072843075,2.072843075,0,high_raw,1,0
NUDT-SIRST,000334,4,1,0,0.6328629255,0.4815410376,0.5110614896,0.5110614896,0.5110614896,1.160717249,0.9788918495,0.8545585871,1,0.8545585871,0.8545585871,0,high_raw,1,0
NUDT-SIRST,000915,1,1,1,0.5196439624,0.6031453609,0.6031453609,0.6031453609,0.6031453609,1.953958154,3.552433252,3.552433252,nan,3.552433252,3.552433252,nan,stage1,0.9206349254,0
NUDT-SIRST,000915,2,1,1,0.7658210993,0.7363526225,0.7350729704,0.7350729704,0.7350729704,4.083353519,2.834796906,2.430145264,1,2.430145264,2.430145264,0,high_raw,0.9206349254,0
NUDT-SIRST,000915,3,1,0,0.683908999,0.6407570839,0.6597062945,0.6597062945,0.6597062945,1.253462672,1.429330587,1.869082212,1,1.869082212,1.869082212,0,high_raw,0.9206349254,0
NUDT-SIRST,000915,4,1,0,0.7347828746,0.611279428,0.5894339085,0.5894339085,0.5894339085,1.024845958,1.141644478,1.396160841,1,1.396160841,1.396160841,0,high_raw,0.9206349254,0
NUDT-SIRST,000523,1,1,1,0.6247461438,0.7553423047,0.7553423047,0.7553423047,0.7553423047,1.556976199,1.534731984,1.534731984,nan,1.534731984,1.534731984,nan,stage1,0.6486486197,0
NUDT-SIRST,000523,2,1,1,0.9036117196,0.866841495,0.8655942678,0.8655942678,0.8655942678,1.540586114,1.35085094,1.270319462,1,1.270319462,1.270319462,0,high_raw,0.6486486197,0
NUDT-SIRST,000523,3,1,0,0.7886292338,0.7535048127,0.7443890572,0.7443890572,0.7443890572,1.137754202,1.226950526,1.579955459,1,1.579955459,1.579955459,0,high_raw,0.6486486197,0
NUDT-SIRST,000523,4,1,0,0.5159716606,0.5374864936,0.6041493416,0.6041493416,0.6041493416,1.027097344,0.971044302,0.9215856791,1,0.9215856791,0.9215856791,0,high_raw,0.6486486197,0
NUDT-SIRST,000765,1,1,1,0.5920010209,0.639824748,0.639824748,0.639824748,0.639824748,2.083546162,7.020581245,7.020581245,nan,7.020581245,7.020581245,nan,stage1,0.928571403,0
NUDT-SIRST,000765,2,1,1,0.7614818811,0.7220035195,0.7210896611,0.7210896611,0.7210896611,7.997198582,5.229094505,5.438873291,1,5.438873291,5.438873291,0,high_raw,0.928571403,0
NUDT-SIRST,000765,3,1,0,0.4628473222,0.5217097402,0.6029016376,0.6029016376,0.6029016376,1.009171605,1.239204526,1.673671246,1,1.673671246,1.673671246,0,high_raw,0.928571403,0
NUDT-SIRST,000765,4,1,0,0.6406522989,0.4773911536,0.4250926375,0.4250926375,0.4250926375,0.5104712844,0.6566605568,1.024300337,1,1.024300337,1.024300337,0,high_raw,0.928571403,0
NUDT-SIRST,000215,1,1,1,0.5774300098,0.6161997914,0.6161997914,0.6161997914,0.6161997914,2.523647547,5.620720863,5.620720863,nan,5.620720863,5.620720863,nan,stage1,0.9090909362,0
NUDT-SIRST,000215,2,1,1,0.7416681051,0.7051848173,0.6932604909,0.6932604909,0.6932604909,6.447328091,4.269357681,4.097395897,1,4.097395897,4.097395897,0,high_raw,0.9090909362,0
NUDT-SIRST,000215,3,1,0,0.6835654974,0.7189352512,0.7267240286,0.7267240286,0.7267240286,1.019759655,1.786624789,1.87584424,1,1.87584424,1.87584424,0,high_raw,0.9090909362,0
NUDT-SIRST,000215,4,1,0,0.8081143498,0.7193906903,0.6060118675,0.6060118675,0.6060118675,3.658231258,2.273976326,1.53233099,1,1.53233099,1.53233099,0,high_raw,0.9090909362,0
NUDT-SIRST,000045,1,1,1,0.6291214228,0.7343503237,0.7343503237,0.7343503237,0.7343503237,1.884535909,4.10878849,4.10878849,nan,4.10878849,4.10878849,nan,stage1,1,0
NUDT-SIRST,000045,2,1,1,0.8040897846,0.7677221894,0.7637213469,0.7637213469,0.7637213469,4.896784782,3.501246214,3.188758373,1,3.188758373,3.188758373,0,high_raw,1,0
NUDT-SIRST,000045,3,1,0,0.6227217913,0.6042026877,0.6376941204,0.6376941204,0.6376941204,1.621468902,1.693702698,2.079639673,1,2.079639673,2.079639673,0,high_raw,1,0
NUDT-SIRST,000045,4,1,0,0.6196369529,0.5491399765,0.5144124031,0.5144124031,0.5144124031,1.082612038,1.107354164,1.014230371,1,1.014230371,1.014230371,0,high_raw,1,0
NUDT-SIRST,001303,1,1,1,0.5115643144,0.6083414555,0.6083414555,0.6083414555,0.6083414555,10.77992916,22.34358025,22.34358025,nan,22.34358025,22.34358025,nan,stage1,0.859375,0
NUDT-SIRST,001303,2,1,1,0.821354866,0.7899175882,0.7970303297,0.7970303297,0.7970303297,3.83193779,4.329446793,3.567117214,1,3.567117214,3.567117214,0,high_raw,0.859375,0
NUDT-SIRST,001303,3,1,0,0.7737768292,0.7375833988,0.7701664567,0.7701664567,0.7701664567,1.912469864,3.241119385,4.150224209,1,4.150224209,4.150224209,0,high_raw,0.859375,0
NUDT-SIRST,001303,4,1,0,0.7928220034,0.6000055075,0.5562962294,0.5562962294,0.5562962294,1.037968636,1.142523885,1.202360868,1,1.202360868,1.202360868,0,high_raw,0.859375,0
NUDT-SIRST,000644,1,1,1,0.6029630899,0.652921617,0.652921617,0.652921617,0.652921617,3.661668062,7.115048409,7.115048409,nan,7.115048409,7.115048409,nan,stage1,0.8947368264,0
NUDT-SIRST,000644,2,1,1,0.7828680277,0.762085855,0.7473452091,0.7473452091,0.7473452091,5.417560101,4.289272785,3.934333563,1,3.934333563,3.934333563,0,high_raw,0.8947368264,0
NUDT-SIRST,000644,3,1,0,0.780333817,0.7370627522,0.7595877647,0.7595877647,0.7595877647,1.050729752,1.836471438,2.13811183,1,2.13811183,2.13811183,0,high_raw,0.8947368264,0
