dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,R_high_high_for_fusion,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,high_for_fusion_fg_bg,gate_fg_minus_bg,block_fusion_high_source,pred_iou,pred_has_false_alarm
NUDT-SIRST,000541,1,1,1,0.6242911816,0.6715659499,0.6715659499,0.6715659499,0.6715659499,4.149476051,5.444221497,5.444221497,nan,5.444221497,5.444221497,nan,stage1,1,0
NUDT-SIRST,000541,2,1,1,0.866651535,0.8220838904,0.82746768,0.82746768,0.8220838904,4.328607559,3.779850721,3.124022722,1,3.124022722,3.779850721,0,residual,1,0
NUDT-SIRST,000541,3,1,0,0.7491652369,0.6757095456,0.6709557772,0.6709557772,0.6757095456,1.546702862,1.371882796,1.739176273,1,1.739176273,1.371882796,0,residual,1,0
NUDT-SIRST,000541,4,1,0,0.6815757155,0.5343511105,0.4922833145,0.4922833145,0.5343511105,0.6803948879,0.854850173,0.9269701838,1,0.9269701838,0.854850173,0,residual,1,0
NUDT-SIRST,000832,1,1,1,0.6154931188,0.6540521979,0.6540521979,0.6540521979,0.6540521979,2.716054916,6.79178381,6.79178381,nan,6.79178381,6.79178381,nan,stage1,0.9268292785,0
NUDT-SIRST,000832,2,1,1,0.8195751905,0.807608366,0.7999894023,0.7999894023,0.807608366,6.489500523,5.459507942,5.142363071,1,5.142363071,5.459507942,0,residual,0.9268292785,0
NUDT-SIRST,000832,3,1,0,0.4207090139,0.5653544068,0.6934403777,0.6934403777,0.5653544068,0.9909038544,1.397306561,2.265150547,1,2.265150547,1.397306561,0,residual,0.9268292785,0
NUDT-SIRST,000832,4,1,0,0.1822797358,0.2435321361,0.3083366156,0.3083366156,0.2435321361,0.9897187948,0.9490898848,1.061313033,1,1.061313033,0.9490898848,0,residual,0.9268292785,0
NUDT-SIRST,000710,1,1,1,0.5919419527,0.6231492162,0.6231492162,0.6231492162,0.6231492162,4.305100918,9.194485664,9.194485664,nan,9.194485664,9.194485664,nan,stage1,0.9230769277,0
NUDT-SIRST,000710,2,1,1,0.7807807922,0.7674359083,0.7655339837,0.7655339837,0.7674359083,9.86738205,7.298072338,6.421040058,1,6.421040058,7.298072338,0,residual,0.9230769277,0
