dataset_short,run,stage,decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,R_high_high_for_fusion,low_fg_bg,residual_fg_bg,high_raw_fg_bg,high_hat_fg_bg,high_for_fusion_fg_bg,gate_fg_minus_bg,sample_mean_iou,false_alarm_rate
NUAA,nuaa_block_residual_gate_none,1,1.0,0.5095906773,0.638049383,0.638049383,0.638049383,0.638049383,2.549307861,13.82819927,13.82819927,13.82819927,13.82819927,nan,0.7158593685,0.05140186916
NUAA,nuaa_block_residual_gate_none,2,1.0,0.8273151979,0.7931568623,0.7807761514,0.7807761514,0.7931568623,5.504377802,4.736353396,4.219646554,4.219646554,4.736353396,2.22821102e-09,0.7158593685,0.05140186916
NUAA,nuaa_block_residual_gate_none,3,0.0,0.7596915641,0.737477466,0.7475030308,0.7475030308,0.737477466,1.274681844,2.158974418,3.055414644,3.055414644,2.158974418,0.0,0.7158593685,0.05140186916
NUAA,nuaa_block_residual_gate_none,4,0.0,0.679760713,0.6097630683,0.5970737202,0.5970737202,0.6097630683,0.8210128312,0.8646630401,1.167113481,1.167113481,0.8646630401,0.0,0.7158593685,0.05140186916
NUDT,nudt_block_residual_gate_none,1,1.0,0.6088553308,0.6766254671,0.6766254671,0.6766254671,0.6766254671,3.140852055,5.820013679,5.820013679,5.820013679,5.820013679,nan,0.8962166142,0.02560240964
NUDT,nudt_block_residual_gate_none,2,1.0,0.8209520656,0.7941363572,0.7872213632,0.7872213632,0.7941363572,6.81569236,5.322536891,4.430098133,4.430098133,5.322536891,7.181282503e-10,0.8962166142,0.02560240964
NUDT,nudt_block_residual_gate_none,3,0.0,0.688129216,0.6849355822,0.7097860847,0.7097860847,0.6849355822,1.249040693,1.84375216,2.468927065,2.468927065,1.84375216,0.0,0.8962166142,0.02560240964
NUDT,nudt_block_residual_gate_none,4,0.0,0.5457683411,0.4648129665,0.479323666,0.479323666,0.4648129665,0.8113418007,0.9764321169,1.069669445,1.069669445,0.9764321169,2.692980939e-10,0.8962166142,0.02560240964
IRSTD,irstd_block_residual_gate_none,1,1.0,0.5823956577,0.6903464237,0.6903464237,0.6903464237,0.6903464237,4.213277837,12.85722962,12.85722962,12.85722962,12.85722962,nan,0.5571000113,0.07960199005
IRSTD,irstd_block_residual_gate_none,2,1.0,0.8083634904,0.774984707,0.7810612834,0.7810612834,0.774984707,4.416663714,4.294903047,4.51509167,4.51509167,4.294903047,2.980232239e-10,0.5571000113,0.07960199005
IRSTD,irstd_block_residual_gate_none,3,0.0,0.7881029064,0.7575347999,0.746351713,0.746351713,0.7575347999,3.393039463,3.186250587,4.057205822,4.057205822,3.186250587,2.980232239e-10,0.5571000113,0.07960199005
IRSTD,irstd_block_residual_gate_none,4,0.0,0.7016996166,0.6719835157,0.6609829553,0.6609829553,0.6719835157,0.792310572,0.8341610673,0.8801258667,0.8801258667,0.8341610673,0.0,0.5571000113,0.07960199005
