dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,R_high_high_for_fusion,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,high_for_fusion_fg_bg,gate_fg_minus_bg,block_fusion_high_source,pred_iou,pred_has_false_alarm
IRSTD-1K,XDU189,1,1,1,0.6211595535,0.6932138801,0.6932138801,0.6932138801,0.6932138801,5.565701008,17.30181885,17.30181885,nan,17.30181885,17.30181885,nan,stage1,0.6363636255,0
IRSTD-1K,XDU189,2,1,1,0.8118092418,0.7945515513,0.7420457602,0.7420457602,0.7945515513,12.03207874,10.69194889,8.634046555,1,8.634046555,10.69194889,0,residual,0.6363636255,0
IRSTD-1K,XDU189,3,1,0,0.7024320364,0.6864715815,0.6837442517,0.6837442517,0.6864715815,1.742674828,3.019343138,3.286571026,1,3.286571026,3.019343138,0,residual,0.6363636255,0
IRSTD-1K,XDU189,4,1,0,0.7182808518,0.6103335023,0.5929086208,0.5929086208,0.6103335023,1.580573201,1.11267674,1.095969081,1,1.095969081,1.11267674,0,residual,0.6363636255,0
IRSTD-1K,XDU935,1,1,1,0.5767956376,0.6572500467,0.6572500467,0.6572500467,0.6572500467,2.512435675,15.11109734,15.11109734,nan,15.11109734,15.11109734,nan,stage1,0.6153846383,1
IRSTD-1K,XDU935,2,1,1,0.823349297,0.8166496158,0.7429230809,0.7429230809,0.8166496158,13.70884991,11.21330547,8.358142853,1,8.358142853,11.21330547,0,residual,0.6153846383,1
IRSTD-1K,XDU935,3,1,0,0.6824811697,0.7173519731,0.6850816607,0.6850816607,0.7173519731,1.495097876,2.39377594,2.334946156,1,2.334946156,2.39377594,0,residual,0.6153846383,1
IRSTD-1K,XDU935,4,1,0,0.7243631482,0.5957993269,0.5704839826,0.5704839826,0.5957993269,2.414137363,1.422263503,1.406435251,1,1.406435251,1.422263503,0,residual,0.6153846383,1
IRSTD-1K,XDU672,1,1,1,0.596835494,0.6526142359,0.6526142359,0.6526142359,0.6526142359,2.043376207,6.929623127,6.929623127,nan,6.929623127,6.929623127,nan,stage1,0.538461566,0
IRSTD-1K,XDU672,2,1,1,0.8165014386,0.7993187904,0.7510845661,0.7510845661,0.7993187904,7.890751362,6.050610542,5.402250767,1,5.402250767,6.050610542,0,residual,0.538461566,0
