dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,R_high_high_for_fusion,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,high_for_fusion_fg_bg,gate_fg_minus_bg,block_fusion_high_source,pred_iou,pred_has_false_alarm
NUAA-SIRST,Misc_338,1,1,1,0.4910465777,0.6426523328,0.6426523328,0.6426523328,0.6426523328,1.528068185,21.48058891,21.48058891,nan,21.48058891,21.48058891,nan,stage1,0.75,0
NUAA-SIRST,Misc_338,2,1,1,0.843077898,0.8216053843,0.8167013526,0.8167013526,0.8216053843,2.356118917,2.132510662,7.114424229,1,7.114424229,2.132510662,0,residual,0.75,0
NUAA-SIRST,Misc_338,3,1,0,0.2833836377,0.2548807859,0.3865268528,0.3865268528,0.2548807859,1.021585107,0.8896824718,0.9908562303,1,0.9908562303,0.8896824718,0,residual,0.75,0
NUAA-SIRST,Misc_338,4,1,0,0.4419423044,0.3954920769,0.3909403682,0.3909403682,0.3954920769,0.9493520856,1.000006437,0.9872236252,1,0.9872236252,1.000006437,0,residual,0.75,0
NUAA-SIRST,Misc_379,1,1,1,0.5606508851,0.6390651464,0.6390651464,0.6390651464,0.6390651464,1.137958288,5.074437141,5.074437141,nan,5.074437141,5.074437141,nan,stage1,0.7748917937,0
NUAA-SIRST,Misc_379,2,1,1,0.7981481552,0.6971840858,0.6749880314,0.6749880314,0.6971840858,2.167347431,1.734612465,2.171435833,1,2.171435833,1.734612465,0,residual,0.7748917937,0
NUAA-SIRST,Misc_379,3,1,0,0.6581081748,0.6369659305,0.5511215329,0.5511215329,0.6369659305,1.132548332,0.8885885477,1.152559161,1,1.152559161,0.8885885477,0,residual,0.7748917937,0
NUAA-SIRST,Misc_379,4,1,0,0.6443718076,0.6104412675,0.5486114025,0.5486114025,0.6104412675,0.4954515696,0.5918741226,0.796027422,1,0.796027422,0.5918741226,0,residual,0.7748917937,0
NUAA-SIRST,Misc_422,1,1,1,0.5438729525,0.6294438839,0.6294438839,0.6294438839,0.6294438839,4.559681416,19.13437843,19.13437843,nan,19.13437843,19.13437843,nan,stage1,0.8571428657,0
NUAA-SIRST,Misc_422,2,1,1,0.8638755679,0.8460716009,0.8226932883,0.8226932883,0.8460716009,3.731492519,4.523971081,6.487534523,1,6.487534523,4.523971081,0,residual,0.8571428657,0
NUAA-SIRST,Misc_422,3,1,0,0.2272126824,0.5881465077,0.5395106673,0.5395106673,0.5881465077,1.063374758,1.255173683,1.134631157,1,1.134631157,1.255173683,0,residual,0.8571428657,0
NUAA-SIRST,Misc_422,4,1,0,0.5383928418,0.4152557254,0.4247666597,0.4247666597,0.4152557254,0.9490534067,0.9561145902,0.9905038476,1,0.9905038476,0.9561145902,0,residual,0.8571428657,0
NUAA-SIRST,Misc_73,1,1,1,0.576993227,0.7004113197,0.7004113197,0.7004113197,0.7004113197,4.338126659,6.914034367,6.914034367,nan,6.914034367,6.914034367,nan,stage1,0.5,1
NUAA-SIRST,Misc_73,2,1,1,0.8628029823,0.8365105987,0.7954793572,0.7954793572,0.8365105987,4.947165966,5.283672333,5.303257465,1,5.303257465,5.283672333,0,residual,0.5,1
NUAA-SIRST,Misc_73,3,1,0,0.6600120664,0.675886631,0.6593382955,0.6593382955,0.675886631,3.062563419,3.201262712,3.420112848,1,3.420112848,3.201262712,0,residual,0.5,1
NUAA-SIRST,Misc_73,4,1,0,0.7135714293,0.6090281606,0.5996419191,0.5996419191,0.6090281606,1.276009798,1.39353013,2.393473625,1,2.393473625,1.39353013,0,residual,0.5,1
NUAA-SIRST,Misc_321,1,1,1,0.5275336504,0.6316928267,0.6316928267,0.6316928267,0.6316928267,3.911932945,18.54158401,18.54158401,nan,18.54158401,18.54158401,nan,stage1,0.6666666865,1
NUAA-SIRST,Misc_321,2,1,1,0.8455178142,0.8231005073,0.7853217125,0.7853217125,0.8231005073,3.307044983,3.730462313,5.283705711,1,5.283705711,3.730462313,0,residual,0.6666666865,1
NUAA-SIRST,Misc_321,3,1,0,0.4181013107,0.5464692712,0.5215815306,0.5215815306,0.5464692712,1.168241382,1.212123513,1.350751162,1,1.350751162,1.212123513,0,residual,0.6666666865,1
NUAA-SIRST,Misc_321,4,1,0,0.5688670278,0.4385873079,0.4286816716,0.4286816716,0.4385873079,0.6656719446,0.839777112,0.9208471179,1,0.9208471179,0.839777112,0,residual,0.6666666865,1
NUAA-SIRST,Misc_162,1,1,1,0.4405320883,0.6697938442,0.6697938442,0.6697938442,0.6697938442,1.362947345,21.43625259,21.43625259,nan,21.43625259,21.43625259,nan,stage1,0.7619047761,0
NUAA-SIRST,Misc_162,2,1,1,0.8368716836,0.7699410915,0.7619668841,0.7619668841,0.7699410915,4.433595657,3.264060736,4.94472599,1,4.94472599,3.264060736,0,residual,0.7619047761,0
NUAA-SIRST,Misc_162,3,1,0,0.5197219253,0.5440785289,0.49995175,0.49995175,0.5440785289,0.410340786,0.5775381327,1.025989294,1,1.025989294,0.5775381327,0,residual,0.7619047761,0
NUAA-SIRST,Misc_162,4,1,0,0.5197068453,0.4695238173,0.4254153669,0.4254153669,0.4695238173,0.3470382392,0.6825315952,0.7918638587,1,0.7918638587,0.6825315952,0,residual,0.7619047761,0
NUAA-SIRST,Misc_372,1,1,1,0.4080487788,0.6486606598,0.6486606598,0.6486606598,0.6486606598,1.236734271,8.072174072,8.072174072,nan,8.072174072,8.072174072,nan,stage1,0.8518518806,0
NUAA-SIRST,Misc_372,2,1,1,0.8221866488,0.7605924606,0.752707839,0.752707839,0.7605924606,3.629141569,3.053932905,4.7023592,1,4.7023592,3.053932905,0,residual,0.8518518806,0
NUAA-SIRST,Misc_372,3,1,0,0.5539996624,0.5173634291,0.4572032392,0.4572032392,0.5173634291,1.013969064,0.8627400994,0.9375403523,1,0.9375403523,0.8627400994,0,residual,0.8518518806,0
NUAA-SIRST,Misc_372,4,1,0,0.5838165879,0.4599582255,0.4065262973,0.4065262973,0.4599582255,0.8632065654,1.032387853,0.980563283,1,0.980563283,1.032387853,0,residual,0.8518518806,0
