dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,R_high_high_for_fusion,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,high_for_fusion_fg_bg,gate_fg_minus_bg,block_fusion_high_source,pred_iou,pred_has_false_alarm
NUDT-SIRST,000541,1,1,1,0.5930344462,0.6582745314,0.6582745314,0.6582745314,0.6582745314,3.38828516,5.154747963,5.154747963,nan,5.154747963,5.154747963,nan,stage1,1,0
NUDT-SIRST,000541,2,1,1,0.8458009958,0.812061429,0.7214946747,0.7214946747,0.812061429,3.738859653,3.127012253,2.3659513,1,2.3659513,3.127012253,0,residual,1,0
NUDT-SIRST,000541,3,1,0,0.7400758862,0.6262421012,0.6490883827,0.6490883827,0.6262421012,1.221694589,1.113027573,1.031173706,1,1.031173706,1.113027573,0,residual,1,0
NUDT-SIRST,000541,4,1,0,0.6454411745,0.5257108212,0.4873365462,0.4873365462,0.5257108212,1.067171097,0.8909165859,0.8021064997,1,0.8021064997,0.8909165859,0,residual,1,0
NUDT-SIRST,000832,1,1,1,0.589595139,0.6355597377,0.6355597377,0.6355597377,0.6355597377,2.437362671,8.952162743,8.952162743,nan,8.952162743,8.952162743,nan,stage1,0.9499999881,0
NUDT-SIRST,000832,2,1,1,0.7764260173,0.750379324,0.7161375284,0.7161375284,0.750379324,2.659329653,2.312321186,3.20300889,1,3.20300889,2.312321186,0,residual,0.9499999881,0
NUDT-SIRST,000832,3,1,0,0.5445633531,0.4210270345,0.4887514412,0.4887514412,0.4210270345,0.4231511354,0.730219841,0.9246560335,1,0.9246560335,0.730219841,0,residual,0.9499999881,0
NUDT-SIRST,000832,4,1,0,0.1557547599,0.3750406206,0.3852707446,0.3852707446,0.3750406206,1.032284617,0.9804130793,0.9634467959,1,0.9634467959,0.9804130793,0,residual,0.9499999881,0
NUDT-SIRST,000710,1,1,1,0.5592140555,0.588703692,0.588703692,0.588703692,0.588703692,3.798483133,10.96047592,10.96047592,nan,10.96047592,10.96047592,nan,stage1,0.9423077106,0
NUDT-SIRST,000710,2,1,1,0.7761538625,0.7437823415,0.7241421938,0.7241421938,0.7437823415,3.737790823,3.444768429,4.170954227,1,4.170954227,3.444768429,0,residual,0.9423077106,0
NUDT-SIRST,000710,3,1,0,0.7560169697,0.6221785545,0.6307885647,0.6307885647,0.6221785545,0.780828476,0.9269089103,0.9392526746,1,0.9392526746,0.9269089103,0,residual,0.9423077106,0
