index,image_path,mask_path,output_path
0,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/NUAA-SIRST/images/Misc_338.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/NUAA-SIRST/masks/Misc_338_pixels0.png,docs/visualizations/v2_2_fsre_feature_diagnostics/nuaa_v2_diagnostic/0000_Misc_338.png
1,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/NUAA-SIRST/images/Misc_379.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/NUAA-SIRST/masks/Misc_379_pixels0.png,docs/visualizations/v2_2_fsre_feature_diagnostics/nuaa_v2_diagnostic/0001_Misc_379.png
2,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/NUAA-SIRST/images/Misc_422.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/NUAA-SIRST/masks/Misc_422_pixels0.png,docs/visualizations/v2_2_fsre_feature_diagnostics/nuaa_v2_diagnostic/0002_Misc_422.png
3,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/NUAA-SIRST/images/Misc_73.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/NUAA-SIRST/masks/Misc_73_pixels0.png,docs/visualizations/v2_2_fsre_feature_diagnostics/nuaa_v2_diagnostic/0003_Misc_73.png
4,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/NUAA-SIRST/images/Misc_321.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/NUAA-SIRST/masks/Misc_321_pixels0.png,docs/visualizations/v2_2_fsre_feature_diagnostics/nuaa_v2_diagnostic/0004_Misc_321.png
5,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/NUAA-SIRST/images/Misc_162.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/NUAA-SIRST/masks/Misc_162_pixels0.png,docs/visualizations/v2_2_fsre_feature_diagnostics/nuaa_v2_diagnostic/0005_Misc_162.png
6,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/NUAA-SIRST/images/Misc_372.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/NUAA-SIRST/masks/Misc_372_pixels0.png,docs/visualizations/v2_2_fsre_feature_diagnostics/nuaa_v2_diagnostic/0006_Misc_372.png
7,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/NUAA-SIRST/images/Misc_185.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/NUAA-SIRST/masks/Misc_185_pixels0.png,docs/visualizations/v2_2_fsre_feature_diagnostics/nuaa_v2_diagnostic/0007_Misc_185.png
8,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/NUAA-SIRST/images/Misc_420.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/NUAA-SIRST/masks/Misc_420_pixels0.png,docs/visualizations/v2_2_fsre_feature_diagnostics/nuaa_v2_diagnostic/0008_Misc_420.png
9,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/NUAA-SIRST/images/Misc_143.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/NUAA-SIRST/masks/Misc_143_pixels0.png,docs/visualizations/v2_2_fsre_feature_diagnostics/nuaa_v2_diagnostic/0009_Misc_143.png
10,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/NUAA-SIRST/images/Misc_137.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/NUAA-SIRST/masks/Misc_137_pixels0.png,docs/visualizations/v2_2_fsre_feature_diagnostics/nuaa_v2_diagnostic/0010_Misc_137.png
11,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/NUAA-SIRST/images/Misc_224.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/NUAA-SIRST/masks/Misc_224_pixels0.png,docs/visualizations/v2_2_fsre_feature_diagnostics/nuaa_v2_diagnostic/0011_Misc_224.png
