index,image_path,mask_path,output_path
0,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/images/XDU189.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/masks/XDU189.png,docs/visualizations/v2_4_ffc_feature_diagnostics/irstd_ffc_residual_gate_none/0000_XDU189.png
1,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/images/XDU935.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/masks/XDU935.png,docs/visualizations/v2_4_ffc_feature_diagnostics/irstd_ffc_residual_gate_none/0001_XDU935.png
2,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/images/XDU672.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/masks/XDU672.png,docs/visualizations/v2_4_ffc_feature_diagnostics/irstd_ffc_residual_gate_none/0002_XDU672.png
3,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/images/XDU231.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/masks/XDU231.png,docs/visualizations/v2_4_ffc_feature_diagnostics/irstd_ffc_residual_gate_none/0003_XDU231.png
4,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/images/XDU818.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/masks/XDU818.png,docs/visualizations/v2_4_ffc_feature_diagnostics/irstd_ffc_residual_gate_none/0004_XDU818.png
5,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/images/XDU888.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/masks/XDU888.png,docs/visualizations/v2_4_ffc_feature_diagnostics/irstd_ffc_residual_gate_none/0005_XDU888.png
6,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/images/XDU146.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/masks/XDU146.png,docs/visualizations/v2_4_ffc_feature_diagnostics/irstd_ffc_residual_gate_none/0006_XDU146.png
7,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/images/XDU48.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/masks/XDU48.png,docs/visualizations/v2_4_ffc_feature_diagnostics/irstd_ffc_residual_gate_none/0007_XDU48.png
8,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/images/XDU492.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/masks/XDU492.png,docs/visualizations/v2_4_ffc_feature_diagnostics/irstd_ffc_residual_gate_none/0008_XDU492.png
9,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/images/XDU241.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/masks/XDU241.png,docs/visualizations/v2_4_ffc_feature_diagnostics/irstd_ffc_residual_gate_none/0009_XDU241.png
10,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/images/XDU195.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/masks/XDU195.png,docs/visualizations/v2_4_ffc_feature_diagnostics/irstd_ffc_residual_gate_none/0010_XDU195.png
11,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/images/XDU801.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/masks/XDU801.png,docs/visualizations/v2_4_ffc_feature_diagnostics/irstd_ffc_residual_gate_none/0011_XDU801.png
12,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/images/XDU104.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/masks/XDU104.png,docs/visualizations/v2_4_ffc_feature_diagnostics/irstd_ffc_residual_gate_none/0012_XDU104.png
13,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/images/XDU637.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/masks/XDU637.png,docs/visualizations/v2_4_ffc_feature_diagnostics/irstd_ffc_residual_gate_none/0013_XDU637.png
14,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/images/XDU996.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/masks/XDU996.png,docs/visualizations/v2_4_ffc_feature_diagnostics/irstd_ffc_residual_gate_none/0014_XDU996.png
15,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/images/XDU482.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/masks/XDU482.png,docs/visualizations/v2_4_ffc_feature_diagnostics/irstd_ffc_residual_gate_none/0015_XDU482.png
16,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/images/XDU406.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/masks/XDU406.png,docs/visualizations/v2_4_ffc_feature_diagnostics/irstd_ffc_residual_gate_none/0016_XDU406.png
17,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/images/XDU889.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/masks/XDU889.png,docs/visualizations/v2_4_ffc_feature_diagnostics/irstd_ffc_residual_gate_none/0017_XDU889.png
18,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/images/XDU558.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/masks/XDU558.png,docs/visualizations/v2_4_ffc_feature_diagnostics/irstd_ffc_residual_gate_none/0018_XDU558.png
19,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/images/XDU117.png,/DATA20T/bip/cry/code/SIRST-5K-main/dataset/IRSTD-1k/masks/XDU117.png,docs/visualizations/v2_4_ffc_feature_diagnostics/irstd_ffc_residual_gate_none/0019_XDU117.png
